epoch,train_loss,validation_macro_f1
1,2.737360489995856,0.3233966690124325
2,1.501585780005706,0.3302232509082386
3,1.696114913413399,0.46698902278612425
4,1.3437800187813609,0.4691638795986622
5,1.498011135741284,0.4738719964636418
6,1.292676048843484,0.5012345679012346
7,1.0667854641613208,0.4843952343952344
8,1.1427934781501168,0.4701313357711565
9,1.1463502363154763,0.4735438003730687
10,1.0879012816830684,0.49470790007863824
11,0.9161497134911386,0.4717505241090147
12,0.812578482063193,0.48719479914448466
13,0.9529170927248503,0.48719479914448466
14,1.0118399325170016,0.49593859187823813
15,0.9562185453741174,0.48709472294664985
16,0.8623042498764238,0.5018044853292324
17,0.7855449569852728,0.5099499266165932
18,0.811853223725369,0.4985999010935072
19,0.7462394770823026,0.49382716049382713
20,0.6884991322693071,0.5032809420064323
21,0.6440408916065568,0.49033028270613754
22,0.7390048386234986,0.4976366843033509
23,0.6237814210747418,0.511855124131339
24,0.5302848588479193,0.4985999010935072
25,0.5087208763549202,0.5088882573963562
26,0.5588926688620919,0.5168812306067208
27,0.4900969753139897,0.5080952380952382
28,0.49995561414643336,0.49977124183006544
29,0.49051443291337865,0.5082716049382716
30,0.5007769598772651,0.6847342995169082
31,0.4257158017472217,0.6800375738056897
32,0.45734897726460505,0.6735361680015769
33,0.4682701332004447,0.6800375738056897
34,0.40999309561754527,0.6759440813362382
35,0.3639180499472116,0.6893769998117825
36,0.40390766921796295,0.6800864030311883
37,0.4114912340515538,0.6800375738056897
38,0.4164690481204736,0.6893769998117825
39,0.4019790581966701,0.6893769998117825
40,0.4054310953146533,0.692615039281706
41,0.34722265424697024,0.692615039281706
42,0.34044580043930756,0.6694681861348527
43,0.3746240103715344,0.6916174494206531
44,0.33313968738442973,0.6867770677294486
45,0.36674134903832484,0.6777670224875193
46,0.3730741598104176,0.6603760180583035
47,0.33584027188388926,0.6727274967958198
48,0.3097037735738252,0.6865544332210999
49,0.35003686441402687,0.6834246188594015
50,0.36825637480146006,0.675467720685112
51,0.2830820628686955,0.6916174494206531
52,0.31571264957126816,0.6834246188594015
53,0.32601186789964376,0.6707453994875379
54,0.32468002642455857,0.6865544332210999
55,0.2782402705205114,0.6859274444410448
56,0.31442506905449064,0.6707453994875379
57,0.26173698431567144,0.651533579615421
58,0.2702567734216389,0.6859274444410448
59,0.3101951236787595,0.6707453994875379
60,0.4008473738243705,0.675467720685112
