threshold,coverage,accepted_n,accuracy_on_accepted,macro_f1_on_accepted,rejected_n
0.0,1.0,133,0.6992481203007519,0.6227365003869791,0
0.049999999999999996,1.0,133,0.6992481203007519,0.6227365003869791,0
0.09999999999999999,1.0,133,0.6992481203007519,0.6227365003869791,0
0.15,1.0,133,0.6992481203007519,0.6227365003869791,0
0.19999999999999998,1.0,133,0.6992481203007519,0.6227365003869791,0
0.24999999999999997,0.9924812030075187,132,0.7045454545454546,0.6252872831796974,1
0.3,0.9022556390977443,120,0.7333333333333333,0.6877136117332195,13
0.35,0.8796992481203008,117,0.7521367521367521,0.7001216880240496,16
0.39999999999999997,0.8421052631578947,112,0.7589285714285714,0.7124278917320525,21
0.44999999999999996,0.8120300751879699,108,0.7685185185185185,0.7210037647537648,25
0.49999999999999994,0.7593984962406015,101,0.8118811881188119,0.7491658149746384,32
0.5499999999999999,0.7142857142857143,95,0.8315789473684211,0.7595973836105414,38
0.6,0.6616541353383458,88,0.8522727272727273,0.767131087854772,45
0.6499999999999999,0.6466165413533834,86,0.8488372093023255,0.766615091982739,47
0.7,0.5789473684210527,77,0.8571428571428571,0.8248365271092545,56
0.7499999999999999,0.48120300751879697,64,0.90625,0.8846956964604022,69
0.7999999999999999,0.42105263157894735,56,0.9285714285714286,0.8787878787878788,77
0.85,0.3157894736842105,42,0.9285714285714286,0.8816666666666666,91
0.8999999999999999,0.23308270676691728,31,0.9354838709677419,0.8666666666666666,102
0.95,0.18796992481203006,25,1.0,1.0,108
