raman_shift_cm-1,intensity_normalized,first_derivative_normalized,valid_mask
0.0,0.0,0.0,0
0.9758478,0.0,0.0,0
1.9516956,0.0,0.0,0
2.9275434,0.0,0.0,0
3.9033911,0.0,0.0,0
4.8792386,0.0,0.0,0
5.855087,0.0,0.0,0
6.8309345,0.0,0.0,0
7.8067822,0.0,0.0,0
8.78263,0.0,0.0,0
9.758477,0.0,0.0,0
10.734325,0.0,0.0,0
11.710174,0.0,0.0,0
12.686021,0.0,0.0,0
13.661869,0.0,0.0,0
14.637716,0.0,0.0,0
15.6135645,0.0,0.0,0
16.589413,0.0,0.0,0
17.56526,0.0,0.0,0
18.541107,0.0,0.0,0
19.516954,0.0,0.0,0
20.492804,0.0,0.0,0
21.46865,0.0,0.0,0
22.444498,0.0,0.0,0
23.420347,0.0,0.0,0
24.396194,0.0,0.0,0
25.372042,0.0,0.0,0
26.347889,0.0,0.0,0
27.323738,0.0,0.0,0
28.299585,0.0,0.0,0
29.275433,0.0,0.0,0
30.251282,0.0,0.0,0
31.227129,0.0,0.0,0
32.202976,0.0,0.0,0
33.178825,0.0,0.0,0
34.15467,0.0,0.0,0
35.13052,0.0,0.0,0
36.10637,0.0,0.0,0
37.082214,0.0,0.0,0
38.058064,0.0,0.0,0
39.03391,0.0,0.0,0
40.009758,0.0,0.0,0
40.985607,0.0,0.0,0
41.961452,0.0,0.0,0
42.9373,0.0,0.0,0
43.91315,0.0,0.0,0
44.888996,0.0,0.0,0
45.864845,0.0,0.0,0
46.840694,0.0,0.0,0
47.81654,0.0,0.0,0
48.79239,0.0,0.0,0
49.768234,0.0,0.0,0
50.744083,0.0,0.0,0
51.719933,0.0,0.0,0
52.695778,0.0,0.0,0
53.671627,0.0,0.0,0
54.647476,0.0,0.0,0
55.62332,0.0,0.0,0
56.59917,0.0,0.0,0
57.57502,0.0,0.0,0
58.550865,0.0,0.0,0
59.526714,0.0,0.0,0
60.502563,0.0,0.0,0
61.47841,0.0,0.0,0
62.454258,0.0,0.0,0
63.430103,0.0,0.0,0
64.40595,0.0,0.0,0
65.3818,0.0,0.0,0
66.35765,0.0,0.0,0
67.333496,0.0,0.0,0
68.30934,0.0,0.0,0
69.285194,0.0,0.0,0
70.26104,0.0,0.0,0
71.236885,0.0,0.0,0
72.21274,0.0,0.0,0
73.18858,0.0,0.0,0
74.16443,0.0,0.0,0
75.14028,0.0,0.0,0
76.11613,0.0,0.0,0
77.09197,0.0,0.0,0
78.06782,0.0,0.0,0
79.04367,0.0,0.0,0
80.019516,0.0,0.0,0
80.99536,0.0,0.0,0
81.971214,0.0,0.0,0
82.94706,0.0,0.0,0
83.922905,0.0,0.0,0
84.89876,0.0,0.0,0
85.8746,0.0,0.0,0
86.85045,0.0,0.0,0
87.8263,0.0,0.0,0
88.80215,0.0,0.0,0
89.77799,0.0,0.0,0
90.753845,0.0,0.0,0
91.72969,0.0,0.0,0
92.705536,0.0,0.0,0
93.68139,0.0,0.0,0
94.657234,0.6599643,1.0,1
95.63308,0.64576215,-0.068413354,1
96.60893,0.61578524,-0.09461865,1
97.58478,0.5846608,-0.10315357,1
98.56062,0.5491726,-0.10378903,1
99.53647,0.5176378,-0.09336467,1
100.51232,0.488881,-0.09127685,1
101.48817,0.45869443,-0.09615514,1
102.46401,0.42678767,-0.088530384,1
103.439865,0.4015247,-0.06435202,1
104.41571,0.38523135,-0.04127222,1
105.391556,0.37487265,-0.03281921,1
106.36741,0.36403784,-0.026793098,1
107.343254,0.35757062,-0.015225096,1
108.3191,0.35420606,-0.008479443,1
109.29495,0.3520949,0.0018442188,1
110.2708,0.35539696,0.014814684,1
111.24664,0.36166167,0.023277508,1
112.222496,0.37042874,0.03165918,1
113.19834,0.38210607,0.0377687,1
114.17419,0.39481834,0.035888135,1
115.15004,0.4052813,0.030576967,1
116.125885,0.4145639,0.030340303,1
117.10173,0.42487392,0.03907348,1
118.07758,0.4397962,0.03962945,1
119.05343,0.45046526,0.032957923,1
120.029274,0.46107918,0.051672805,1
121.00513,0.4838338,0.060589723,1
121.98097,0.50020593,0.058901377,1
122.95682,0.5218701,0.07662637,1
123.93266,0.5496884,0.082649015,1
124.908516,0.57524186,0.08068374,1
125.88436,0.60179114,0.08600455,1
126.86021,0.63078034,0.09278415,1
127.83606,0.6617079,0.095503785,1
128.8119,0.6924533,0.08254831,1
129.78775,0.71501446,0.06051082,1
130.7636,0.73152894,0.04277453,1
131.73946,0.74263674,0.022530364,1
132.7153,0.7460785,-0.0028536527,1
133.69115,0.740794,-0.040904187,1
134.66699,0.7196641,-0.08759251,1
135.64284,0.68423,-0.12088059,1
136.61868,0.641604,-0.122114845,1
137.59453,0.6053729,-0.10774975,1
138.57039,0.57202274,-0.101184696,1
139.54623,0.54003125,-0.090914086,1
140.52208,0.51331383,-0.062553465,1
141.49792,0.49963656,-0.03561824,1
142.47377,0.49031293,-0.027158564,1
143.44962,0.4820986,-0.013003881,1
144.42548,0.48191556,0.008172388,1
145.40132,0.487376,0.01715646,1
146.37717,0.49299455,0.012215349,1
147.35301,0.49526423,0.0025080475,1
148.32886,0.49461415,-0.008577081,1
149.3047,0.48972544,-0.017352771,1
150.28056,0.48340824,-0.015665771,1
151.25641,0.479609,-0.004420991,1
152.23225,0.48055336,0.014720334,1
153.2081,0.48911482,0.03137131,1
154.18394,0.50081176,0.036570475,1
155.15979,0.51273066,0.042536195,1
156.13564,0.52828,0.053257704,1
157.1115,0.5471227,0.06312344,1
158.08734,0.5690431,0.0710113,1
159.06319,0.59297913,0.075016245,1
160.03903,0.61748576,0.078674056,1
161.01488,0.64378387,0.08010917,1
161.99072,0.6692172,0.07358672,1
162.96658,0.6913037,0.061744984,1
163.94243,0.70909023,0.040561553,1
164.91827,0.71749675,0.006822664,1
165.89412,0.7134961,-0.03076373,1
166.86996,0.6976307,-0.058331627,1
167.84581,0.67582774,-0.081248485,1
168.82167,0.6451629,-0.09882518,1
169.79752,0.6120098,-0.09837302,1
170.77336,0.5816373,-0.09150387,1
171.7492,0.55292004,-0.07881862,1
172.72505,0.53073925,-0.06873014,1
173.7009,0.50853676,-0.07348917,1
174.67676,0.48328227,-0.060224395,1
175.6526,0.4696457,-0.045397054,1
176.62845,0.45396656,-0.053377997,1
177.6043,0.43517622,-0.056221202,1
178.58014,0.41766104,-0.04270463,1
179.55598,0.40759918,-0.029512994,1
180.53183,0.39860266,-0.026162686,1
181.50769,0.39070413,-0.02084985,1
182.48354,0.3851385,-0.016319286,1
183.45938,0.38016576,-0.011117194,1
184.43523,0.37795946,-0.0054340726,1
185.41107,0.37665665,-0.0055880053,1
186.38692,0.37435094,-0.007453166,1
187.36278,0.37184358,-0.013033875,1
188.33862,0.36593416,-0.015567188,1
189.31447,0.36179087,-0.010661116,1
190.29031,0.35904962,-0.021032922,1
191.26616,0.3482086,-0.027538667,1
192.242,0.34126619,-0.013291886,1
193.21786,0.33962518,-0.004122178,1
194.19371,0.3386042,-0.009804264,1
195.16956,0.33329397,-0.011047703,1
196.1454,0.33147004,0.0012522673,1
197.12125,0.33410263,0.011767782,1
198.09709,0.33906922,0.014448452,1
199.07294,0.3434329,0.006969481,1
200.0488,0.3435698,0.00016375042,1
201.02464,0.34353867,0.003990538,1
202.00049,0.34614673,0.013758232,1
202.97633,0.35242322,0.011274775,1
203.95218,0.35342756,0.004217249,1
204.92802,0.35514656,0.010024669,1
205.90388,0.35990116,0.017758317,1
206.87973,0.3666143,0.010236968,1
207.85558,0.3665118,0.005190969,1
208.83142,0.36996645,0.017421044,1
209.80727,0.37776166,0.02107674,1
210.78311,0.38357702,0.015804887,1
211.75897,0.38796788,0.022861872,1
212.73482,0.3983404,0.038024098,1
213.71066,0.4125224,0.03720638,1
214.68651,0.4223669,0.028317789,1
215.66235,0.43080896,0.032764494,1
216.6382,0.44352496,0.04504109,1
217.61406,0.459895,0.051102333,1
218.5899,0.47652522,0.053492207,1
219.56575,0.4944383,0.050181754,1
220.5416,0.5089307,0.0451753,1
221.51744,0.5236108,0.053459104,1
222.49329,0.54345256,0.063790604,1
223.46913,0.5648043,0.067714036,1
224.44499,0.58718,0.06794273,1
225.42084,0.6086796,0.06455982,1
226.39668,0.6288703,0.063520476,1
227.37253,0.6496987,0.054627247,1
228.34837,0.66414654,0.041732576,1
229.32422,0.676648,0.040704496,1
230.30008,0.6904321,0.039224528,1
231.27592,0.701978,0.027721468,1
232.25177,0.70833355,0.023260845,1
233.22762,0.716999,0.034839567,1
234.20346,0.7308316,0.047816202,1
235.1793,0.7478769,0.064505234,1
236.15517,0.77248704,0.07618042,1
237.13101,0.79707175,0.07922232,1
238.10686,0.82364583,0.09383889,1
239.0827,0.85766935,0.09444904,1
240.05855,0.8846375,0.087471545,1
241.0344,0.9141551,0.09493381,1
242.01025,0.9459426,0.0934179,1
242.9861,0.9744815,0.0685763,1
243.96194,0.9902265,0.03951681,1
244.93779,1.0,0.008596807,1
245.91364,0.995778,-0.046213467,1
246.88948,0.9701571,-0.096841976,1
247.86533,0.9332411,-0.127086,1
248.84119,0.8880889,-0.14874887,1
249.81703,0.83718413,-0.16150051,1
250.79288,0.783798,-0.15773208,1
251.76872,0.7353267,-0.13587475,1
252.74457,0.69605523,-0.117081545,1
253.72041,0.6597199,-0.10884881,1
254.69627,0.6257642,-0.08695129,1
255.67212,0.60356945,-0.07111227,1
256.64795,0.579843,-0.06398579,1
257.6238,0.56224996,-0.04874367,1
258.59967,0.5483657,-0.053458747,1
259.5755,0.5277286,-0.04784322,1
260.55136,0.51747066,-0.03081291,1
261.5272,0.5078308,-0.029133612,1
262.50305,0.49865726,-0.020627597,1
263.4789,0.49451005,-0.014388059,1
264.45474,0.48936608,-0.012502497,1
265.4306,0.48643646,-0.004724848,1
266.40643,0.4863149,0.00068927393,1
267.3823,0.48688155,-0.0022895334,1
268.35812,0.4848365,-0.0069453865,1
269.33398,0.48239642,-0.010401529,1
270.30984,0.47811946,-0.011676135,1
271.28568,0.4748564,-0.00023197975,1
272.26154,0.47796983,0.0049416055,1
273.23737,0.47804764,-0.0036430415,1
274.21323,0.47561717,-0.007889563,1
275.18906,0.4729529,-0.008338886,1
276.16492,0.4702322,-0.013134621,1
277.14078,0.46447092,-0.017286027,1
278.1166,0.45906955,-0.013405962,1
279.09247,0.4558139,-0.0062861065,1
280.0683,0.45501018,0.0016224171,1
281.04416,0.45686164,0.0042158077,1
282.02002,0.45773265,-0.0008742363,1
282.99585,0.4562972,-0.00301344,1
283.9717,0.45578668,0.0085125,1
284.94754,0.46179405,0.020060146,1
285.9234,0.46874076,0.019075887,1
286.89923,0.47411263,0.015234283,1
287.8751,0.47857842,0.015862893,1
288.85095,0.48435643,0.02579078,1
289.82678,0.495233,0.028220735,1
290.80264,0.50258017,0.018105049,1
291.77847,0.5069247,0.011782914,1
292.75433,0.51018906,0.0022759326,1
293.73016,0.5083946,-0.0064540002,1
294.70602,0.50602126,-0.016263172,1
295.6819,0.4978923,-0.037979018,1
296.6577,0.4814961,-0.056864448,1
297.63358,0.4611712,-0.06997448,1
298.6094,0.4363094,-0.07763355,1
299.58527,0.41103837,-0.0745199,1
300.56113,0.3881865,-0.06487854,1
301.53696,0.3691422,-0.05215581,1
302.51282,0.35450637,-0.035374008,1
303.48865,0.34629884,-0.019408207,1
304.4645,0.3419734,-0.011923967,1
305.44034,0.33859876,-0.0071462914,1
306.4162,0.33735862,0.0034343451,1
307.39206,0.34081656,0.012779468,1
308.3679,0.34561113,0.01351756,1
309.34375,0.34954563,0.01292606,1
310.31958,0.3539583,0.018799547,1
311.29544,0.36168572,0.02559681,1
312.27127,0.37048778,0.027769117,1
313.24713,0.37961793,0.028957432,1
314.223,0.38918766,0.026164712,1
315.19882,0.3965142,0.024224432,1
316.17468,0.40483087,0.026207183,1
317.1505,0.41343784,0.025386313,1
318.12637,0.42122433,0.024555806,1
319.10223,0.4292953,0.023873243,1
320.07806,0.43664083,0.031990822,1
321.05392,0.4499539,0.04736805,1
322.02975,0.46722925,0.044810507,1
323.0056,0.47889063,0.034514993,1
323.98145,0.48951778,0.03905425,1
324.9573,0.50411046,0.052188102,1
325.93317,0.5232194,0.062185347,1
326.909,0.5442674,0.055549312,1
327.88486,0.55909085,0.047385838,1
328.8607,0.5748674,0.052301954,1
329.83655,0.5928655,0.05922694,1
330.8124,0.61311454,0.06647123,1
331.78824,0.63579005,0.06108251,1
332.7641,0.65255904,0.04990821,1
333.73993,0.668019,0.047045097,1
334.7158,0.68293893,0.041558467,1
335.69162,0.69485605,0.031785414,1
336.66748,0.7034646,0.034121785,1
337.64334,0.71689093,0.047646325,1
338.61917,0.7342327,0.05503797,1
339.59503,0.75243235,0.05819805,1
340.57086,0.7718148,0.06699347,1
341.54672,0.79569423,0.081598684,1
342.52255,0.8245081,0.093398444,1
343.4984,0.8560074,0.09662743,1
344.47427,0.8869074,0.096389905,1
345.4501,0.9182524,0.09017144,1
346.42596,0.9451365,0.07038539,1
347.4018,0.96370494,0.036616772,1
348.37766,0.96878177,-0.018241057,1
349.35352,0.95192534,-0.0675874,1
350.32935,0.92513674,-0.10830919,1
351.3052,0.8819828,-0.15843636,1
352.28104,0.8228251,-0.19347867,1
353.2569,0.75704134,-0.21001081,1
354.23273,0.68720824,-0.20735441,1
355.2086,0.62313986,-0.190745,1
356.18445,0.5640304,-0.17345034,1
357.16028,0.51113206,-0.14161749,1
358.13614,0.4725796,-0.11692338,1
359.11197,0.43562734,-0.10210726,1
360.08783,0.4066428,-0.07663542,1
361.06366,0.3861389,-0.05899325,1
362.03952,0.36854726,-0.052698676,1
363.01538,0.35210755,-0.043355938,1
363.9912,0.3405495,-0.029910706,1
364.96707,0.33279246,-0.026245417,1
365.9429,0.32360128,-0.037665434,1
366.91876,0.30846936,-0.03633048,1
367.89462,0.30014008,-0.02441651,1
368.87045,0.29270208,-0.024885874,1
369.8463,0.2840697,-0.026386244,1
370.82214,0.27566287,-0.024150394,1
371.798,0.26847428,-0.0231356,1
372.77383,0.26072282,-0.026057258,1
373.7497,0.2516474,-0.026185453,1
374.72556,0.24381298,-0.017107707,1
375.7014,0.24059978,-0.00999186,1
376.67725,0.23736058,-0.00702555,1
377.65308,0.2360629,-0.002945706,1
378.62894,0.23545836,-0.0013474957,1
379.60477,0.23519275,0.005807848,1
380.58063,0.23920895,0.009455933,1
381.5565,0.24129912,0.0055655777,1
382.53232,0.24280302,0.007447446,1
383.50818,0.24610843,0.013475362,1
384.484,0.25150487,0.013153626,1
385.45987,0.25460243,0.0041931095,1
386.43573,0.25421265,0.0026350035,1
387.41156,0.25630397,0.008907869,1
388.38742,0.25996503,-0.002277689,1
389.36325,0.2548334,-0.008252418,1
390.3391,0.25463605,-0.00086495886,1
391.31494,0.25427487,-0.007262529,1
392.2908,0.24994603,-0.017492652,1
393.26666,0.2429786,-0.015966611,1
394.2425,0.2396353,-0.019750772,1
395.21835,0.2302241,-0.027468119,1
396.19418,0.22189741,-0.019303115,1
397.17004,0.217759,-0.013993117,1
398.14587,0.21286124,-0.019020718,1
399.12173,0.20547605,-0.020058053,1
400.0976,0.1999083,-0.0130139245,1
401.07343,0.19707207,-0.005243008,1
402.0493,0.19652261,0.0011819438,1
403.02512,0.19783528,-0.0011678026,1
404.00098,0.19576837,-0.0030051984,1
404.97684,0.1958946,0.0055328365,1
405.95267,0.19934118,0.011427446,1
406.92853,0.20327401,0.008698858,1
407.90436,0.20495866,0.012149168,1
408.88022,0.21111959,0.020925736,1
409.85605,0.21847169,0.02081632,1
410.8319,0.22456193,0.018587518,1
411.80777,0.230475,0.023961581,1
412.7836,0.24003531,0.03607873,1
413.75946,0.2537734,0.0397637,1
414.7353,0.26571327,0.032669198,1
415.71115,0.27486983,0.034081165,1
416.687,0.28772193,0.046688505,1
417.66284,0.30501938,0.049988642,1
418.6387,0.32000262,0.04630714,1
419.61453,0.3349228,0.05266481,1
420.5904,0.35401165,0.06416697,1
421.56622,0.3763593,0.061880544,1
422.54208,0.3939716,0.057565343,1
423.51794,0.41353342,0.062339548,1
424.49377,0.4342281,0.05733561,1
425.46964,0.45055842,0.04993392,1
426.44547,0.46647358,0.051984135,1
427.42133,0.48412785,0.05245197,1
428.39716,0.5003451,0.049885735,1
429.37302,0.5163421,0.057197172,1
430.34888,0.53728145,0.06459323,1
431.3247,0.55805403,0.06955961,1
432.30057,0.58220047,0.074140206,1
433.2764,0.605931,0.066902496,1
434.25226,0.62540334,0.0562616,1
435.22812,0.6422631,0.055590022,1
436.20395,0.66130126,0.054076187,1
437.1798,0.67718333,0.04726577,1
438.15564,0.6918238,0.05023724,1
439.1315,0.7096247,0.058294065,1
440.10733,0.72946787,0.061529715,1
441.0832,0.74935824,0.07118297,1
442.05905,0.7754358,0.08879614,1
443.03488,0.80669934,0.09995378,1
444.01074,0.8399822,0.112728916,1
444.98657,0.87949526,0.118642576,1
445.96243,0.91659695,0.10559218,1
446.93826,0.947683,0.08081623,1
447.91412,0.96878463,0.041115854,1
448.88998,0.97423446,-0.008722097,1
449.8658,0.9631529,-0.077525556,1
450.84167,0.92417043,-0.14354056,1
451.8175,0.8704604,-0.17589469,1
452.79337,0.81058407,-0.1965331,1
453.76923,0.74354476,-0.19608347,1
454.74506,0.6839606,-0.17163575,1
455.72092,0.63270915,-0.1454744,1
456.69675,0.5900185,-0.12239533,1
457.6726,0.55367106,-0.10945202,1
458.64844,0.5193385,-0.10858377,1
459.6243,0.4835517,-0.097595155,1
460.60016,0.45631427,-0.080567144,1
461.576,0.43152443,-0.08068027,1
462.55185,0.4042139,-0.07150791,1
463.52768,0.3853471,-0.0676663,1
464.50354,0.36051735,-0.07586652,1
465.47937,0.33635536,-0.06496518,1
