threshold,coverage,accepted_n,accuracy_on_accepted,macro_f1_on_accepted,rejected_n
0.0,1.0,133,0.7593984962406015,0.6778788295945158,0
0.049999999999999996,1.0,133,0.7593984962406015,0.6778788295945158,0
0.09999999999999999,1.0,133,0.7593984962406015,0.6778788295945158,0
0.15,1.0,133,0.7593984962406015,0.6778788295945158,0
0.19999999999999998,1.0,133,0.7593984962406015,0.6778788295945158,0
0.24999999999999997,1.0,133,0.7593984962406015,0.6778788295945158,0
0.3,1.0,133,0.7593984962406015,0.6778788295945158,0
0.35,1.0,133,0.7593984962406015,0.6778788295945158,0
0.39999999999999997,1.0,133,0.7593984962406015,0.6778788295945158,0
0.44999999999999996,1.0,133,0.7593984962406015,0.6778788295945158,0
0.49999999999999994,1.0,133,0.7593984962406015,0.6778788295945158,0
0.5499999999999999,1.0,133,0.7593984962406015,0.6778788295945158,0
0.6,0.9924812030075187,132,0.7651515151515151,0.6977200994357857,1
0.6499999999999999,0.9849624060150376,131,0.7709923664122137,0.701549294931648,2
0.7,0.9774436090225563,130,0.7769230769230769,0.7064943498767029,3
0.7499999999999999,0.9699248120300752,129,0.7829457364341085,0.7107448705978117,4
0.7999999999999999,0.9473684210526315,126,0.8015873015873016,0.7231531310176246,7
0.85,0.9323308270676691,124,0.8145161290322581,0.7326941495479488,9
0.8999999999999999,0.9172932330827067,122,0.8278688524590164,0.7400462466073595,11
0.95,0.8872180451127819,118,0.847457627118644,0.8296475466293919,15
