epoch,train_loss,val_macro_f1
1,2.3081731315052836,0.08837798296477067
2,1.8126269721109933,0.17458237052557538
3,1.6724503423095842,0.28467950871107256
4,1.526287635531994,0.41032193723554866
5,1.2459921065820467,0.5029919433846503
6,0.8875824166547268,0.6299741167753591
7,0.5908215499799186,0.6521347467858362
8,0.4132029234406051,0.7282621414414892
9,0.30139579418875756,0.7206815372065818
10,0.24255762505558653,0.7042115166039126
11,0.1973364433837593,0.6977753835311975
12,0.15939066755593917,0.7436412119646448
13,0.13563069039870293,0.7310711279461278
14,0.11246733694687622,0.7822835343668677
15,0.09728986166691014,0.6692975952590009
16,0.08342944334235487,0.7034476069753042
17,0.07581266351556833,0.7583958027923545
18,0.06488901530520631,0.7740337078109022
19,0.05030696244414793,0.7847468066770084
20,0.04734073154235242,0.7479791701994057
21,0.04521789309491805,0.7562479168678355
22,0.036957674813584994,0.6924601150396905
23,0.03353749638542943,0.7190615278502636
24,0.031024809698189753,0.717548082848764
25,0.03450622578330953,0.7150285244350212
26,0.03282736903782763,0.7430567091177557
27,0.03549608802892815,0.7738584191559568
28,0.030940605690617354,0.7023368788074669
29,0.028116952589448165,0.7500515788559267
30,0.026856691179233134,0.7178915177973964
31,0.02354718951098279,0.7525234771202514
32,0.023000970161349058,0.7234864388996484
33,0.014836009561913003,0.739103669632896
34,0.030818347410093823,0.6989571418919245
35,0.015250465902072642,0.7632521464043204
36,0.028917952377665274,0.7405332056194124
37,0.02610288316185304,0.7763037440456796
38,0.02099927662339899,0.7096786404478712
39,0.019044062675942386,0.7335835543149226
40,0.02281793003470355,0.7757598445426651
41,0.014914700514722377,0.7010309724730602
42,0.012897960319388828,0.7669423692378784
43,0.03121953825156606,0.7196973802392373
44,0.01743327478564199,0.7126993821577753
45,0.0150055221747607,0.7510926573426574
46,0.021575399688893604,0.7403735789476454
47,0.017842772784706955,0.7591457755334045
48,0.012926175480937038,0.7052715505961171
49,0.015531324182846369,0.804134179020814
50,0.01662496091352579,0.757562216937217
51,0.00973117993204692,0.7501664358535173
52,0.012058485531111444,0.7897332847671995
53,0.012518669527190643,0.785701911889709
54,0.01964853503426255,0.8194323219123151
55,0.010477612213735733,0.7017969210276903
56,0.019916372779017706,0.7094077647975738
57,0.019341883859960277,0.7498867501289982
58,0.01980206433407548,0.7360742562777446
59,0.010092469132793725,0.7420548334383755
60,0.01796306316541089,0.7113538011870767
61,0.019558844053364836,0.7236369772147948
62,0.00880073734779133,0.7241595378064078
63,0.008961275864206681,0.7803724159420046
64,0.015900803552732223,0.748414518225771
65,0.012081780790782816,0.7620451711294735
66,0.01544584608727579,0.7020150714903873
67,0.012069746872480669,0.7614767096583018
68,0.008190472410306113,0.7650278782624279
69,0.012067648274300688,0.6900505786962696
70,0.015548737525540498,0.7718720423127129
71,0.013785278411403751,0.7338752716214296
72,0.019543249659489097,0.769473962192757
73,0.011823765062668292,0.7753011846035102
74,0.009437994127788734,0.7074059964174475
75,0.01581683472540377,0.7128141574131754
76,0.012317382842820317,0.7019770121085731
77,0.008672173802501633,0.7656030037951765
78,0.015646705663588896,0.7607430898128573
79,0.011338760434177815,0.7265500176808887
80,0.011232169384938887,0.714330977521549
81,0.015735192366765165,0.7551896423989448
82,0.0075431077408929,0.7130181089036187
83,0.009037822756583594,0.7859919066440805
84,0.008853439099933427,0.7648821087511642
85,0.008826982545884808,0.7061257946591698
86,0.011487526651829644,0.774687239089413
87,0.01133410597845929,0.7520399603446961
88,0.016183634980158762,0.7002744032939081
89,0.026855431883323535,0.7103993756375603
90,0.015634424484149582,0.7366972267834336
91,0.012365030731758585,0.756178875669498
92,0.012630382448609987,0.7434269967803163
93,0.01154402428614499,0.718669924298129
94,0.006370292520182583,0.7627520832228258
95,0.007366002486645428,0.7626290495902563
96,0.01356884254756893,0.750534374926958
97,0.020809559302456322,0.7628857336171019
98,0.010972216123981516,0.7741146210024459
99,0.008177817731865024,0.7710110509286867
100,0.006710032806232456,0.7589312270763884
101,0.006316246333847905,0.7033638492563496
102,0.009759493428996685,0.7552919507626935
103,0.01046683291807571,0.7801374756082183
104,0.02872096565207616,0.7934276334477947
105,0.0129723032714704,0.7722141701529295
106,0.018441303577615854,0.7641733266733267
107,0.009396574705950766,0.7276960835949082
108,0.013332476684091498,0.6945369106147281
109,0.007592579316566249,0.6895867832519417
110,0.00825578036649049,0.6562167498892065
111,0.011452735731444416,0.775973863595769
112,0.011879654784216664,0.728535734798941
113,0.010891908771629977,0.7442076011843454
114,0.008773210150664438,0.7053144967983045
115,0.012636189168431783,0.709099447560986
116,0.012472736763995122,0.7438131313131313
117,0.01668607711109387,0.6881886028761606
118,0.014175361145443684,0.6693312193990247
119,0.011146283796391666,0.6764361472197487
120,0.009445764442332786,0.6772258441541147
