raman_shift_cm-1,wavelength_nm,intensity
1430.385491,257.766000,-10.326000
1439.864942,257.829000,20.082500
1449.490117,257.893000,41.758500
1458.960235,257.956000,39.491500
1468.575936,258.020000,-4.690500
1478.036734,258.083000,-2.473000
1487.492915,258.146000,-4.497500
1497.094468,258.210000,-2.689500
1506.541350,258.273000,-2.343500
1516.133465,258.337000,-5.549000
1525.571062,258.400000,-1.761000
1535.004058,258.463000,-1.955500
1544.432457,258.526000,-0.339500
1554.005809,258.590000,-2.451500
1563.424950,258.653000,2.057000
1572.839503,258.716000,-3.551500
1582.249473,258.779000,-4.453000
1591.804117,258.843000,-2.393000
1601.204857,258.906000,-3.023000
1610.601022,258.969000,-1.719500
1619.992617,259.032000,-2.983000
1629.379645,259.095000,-2.308500
1638.911000,259.159000,-0.614000
1648.288831,259.222000,-3.334000
1657.662104,259.285000,-6.788500
1667.030824,259.348000,-6.662000
1676.394994,259.411000,0.351500
1685.754616,259.474000,2.161500
1695.109694,259.537000,-0.617000
1704.460232,259.600000,-0.119500
1713.806232,259.663000,1.058000
1723.147698,259.726000,-1.137500
1732.484634,259.789000,-1.585500
1741.817042,259.852000,-1.012500
1751.144926,259.915000,1.007000
1760.468289,259.978000,-0.902000
1769.787135,260.041000,1.019000
1779.101467,260.104000,-0.420500
1788.411287,260.167000,-0.915500
1797.568932,260.229000,-0.611000
1806.869812,260.292000,-0.378500
1816.166190,260.355000,-1.507000
1825.458071,260.418000,4.835000
1834.745457,260.481000,1.589500
1844.028352,260.544000,0.802000
1853.159517,260.606000,-0.124000
1862.433510,260.669000,7.488500
1871.703021,260.732000,7.912000
1880.968054,260.795000,0.902500
1890.081653,260.857000,-2.077500
1899.337809,260.920000,-3.629000
1908.589497,260.983000,0.372000
1917.689973,261.045000,0.734500
1926.932803,261.108000,-1.027000
1936.171175,261.171000,-2.550500
1945.258555,261.233000,-1.281000
1954.488088,261.296000,-2.321000
1963.566777,261.358000,-1.947500
1972.787485,261.421000,-1.987000
1982.003751,261.484000,-0.497500
1991.069391,261.546000,-1.063000
2000.276850,261.609000,-2.674500
2009.333830,261.671000,7.961000
2018.532495,261.734000,5.895000
2027.580827,261.796000,16.310500
2036.770712,261.859000,18.305500
2045.810408,261.921000,20.686500
2054.845827,261.983000,22.981500
2064.022598,262.046000,42.346500
2073.049399,262.108000,30.245000
2082.217420,262.171000,36.962500
2091.235617,262.233000,36.365500
2100.249550,262.295000,34.693000
2109.404505,262.358000,34.808000
2118.409852,262.420000,32.395000
2127.410945,262.482000,44.294000
2136.552862,262.545000,36.176000
2145.545387,262.607000,39.011000
2154.533666,262.669000,34.789000
2163.517703,262.731000,43.776500
2172.642302,262.794000,42.456000
2181.617796,262.856000,44.020000
2190.589057,262.918000,43.175500
2199.556087,262.980000,44.777000
2208.518891,263.042000,44.497000
2217.621929,263.105000,45.125000
2226.576219,263.167000,17.997000
2235.526291,263.229000,0.318000
2244.472147,263.291000,-3.986500
2253.413792,263.353000,1.707500
2262.351228,263.415000,-3.841000
2271.284457,263.477000,-0.101500
2280.213483,263.539000,-1.545000
2289.138308,263.601000,-0.493000
2298.058937,263.663000,-4.697500
2306.975371,263.725000,-1.964000
2315.887613,263.787000,-15.403500
2324.795667,263.849000,-8.777000
2333.699536,263.911000,-1.664500
2342.599222,263.973000,-2.667500
2351.494729,264.035000,-4.231500
2360.386059,264.097000,-0.032000
2369.273215,264.159000,0.620000
2378.156200,264.221000,-0.830000
2386.891844,264.282000,-0.469000
2395.766564,264.344000,1.270000
2404.637121,264.406000,-0.971500
2413.503520,264.468000,0.426000
2422.365762,264.530000,-3.701500
2431.081012,264.591000,-2.920500
2439.935018,264.653000,-0.162000
2448.784876,264.715000,-3.307500
2457.630590,264.777000,-0.054000
2466.329589,264.838000,-1.966500
2475.167089,264.900000,-2.351000
2484.000453,264.962000,13.650000
2492.687310,265.023000,-3.788000
2501.512478,265.085000,9.049500
2510.333519,265.147000,10.795500
2519.008259,265.208000,0.921000
2527.821120,265.270000,0.136000
2536.487819,265.331000,-0.181000
2545.292512,265.393000,-0.455500
2554.093093,265.455000,-0.198500
2562.747717,265.516000,1.978000
2571.540147,265.578000,4.111000
2580.186758,265.639000,-1.906000
2588.971048,265.701000,-6.191500
2597.609655,265.762000,-15.618500
2606.385817,265.824000,-4.074500
2615.016433,265.885000,-10.581000
2623.643091,265.946000,-4.477500
2632.407114,266.008000,-6.914000
2641.025796,266.069000,-0.462000
2649.781719,266.131000,-0.459500
2658.392437,266.192000,-0.185000
2666.999210,266.253000,-1.073500
2675.743037,266.315000,-1.898500
2684.341862,266.376000,-2.342500
2692.936750,266.437000,1.755000
2701.668505,266.499000,0.913000
2710.255462,266.560000,0.374000
2718.838489,266.621000,0.943500
2727.417590,266.682000,0.444500
2736.133311,266.744000,6.109500
2744.704503,266.805000,0.361500
2753.271776,266.866000,-1.910500
2761.835134,266.927000,0.138500
2770.394579,266.988000,-0.976000
2778.950113,267.049000,-0.968000
2787.641898,267.111000,0.170500
2796.189555,267.172000,-2.387500
2804.733311,267.233000,-1.943000
2813.273167,267.294000,-0.227500
2821.809126,267.355000,-0.866500
2830.341190,267.416000,0.476000
2838.869363,267.477000,-0.565000
2847.393647,267.538000,-0.582000
2855.914045,267.599000,0.553000
2864.430559,267.660000,-1.353500
2872.943193,267.721000,0.095500
2881.451948,267.782000,-6.484000
2889.956827,267.843000,3.703000
2898.457833,267.904000,22.275500
2906.954969,267.965000,-10.560500
2915.448237,268.026000,-2.969500
2923.937640,268.087000,-1.839500
2932.284105,268.147000,-3.731500
2940.765849,268.208000,-6.271000
2949.243736,268.269000,-1.022500
2957.717768,268.330000,-4.489000
2966.187948,268.391000,-3.439000
2974.515518,268.451000,-3.051500
2982.978065,268.512000,-2.355000
2991.436768,268.573000,-5.163500
