dataset,model,threshold,n_total,accepted_n,rejected_n,coverage,accuracy_on_accepted,macro_f1_on_accepted_present_labels,operational_recall_correct_accepted_over_all,false_discovery_rate_wrong_among_accepted,false_positive_rate_wrong_accepted_over_all,macro_one_vs_rest_fpr
sherloc_pooled_random_validation,cnn,0.0,438,438,0,1.0,0.6301369863013698,0.4283099836691589,0.6301369863013698,0.3698630136986301,0.3698630136986301,0.07131361574722281
sherloc_pooled_random_validation,cnn,0.5,438,230,208,0.5251141552511416,0.7913043478260869,0.4191785651330866,0.4155251141552511,0.20869565217391303,0.1095890410958904,0.02509494588597083
sherloc_pooled_random_validation,cnn,0.7,438,131,307,0.2990867579908676,0.8625954198473282,0.3959785042543663,0.2579908675799087,0.13740458015267176,0.0410958904109589,0.011258329414592193
sherloc_pooled_random_validation,cnn,0.8,438,83,355,0.18949771689497716,0.891566265060241,0.4219827586206897,0.1689497716894977,0.10843373493975904,0.02054794520547945,0.005995425029515939
sherloc_pooled_random_validation,cnn,0.9,438,45,393,0.10273972602739725,0.8666666666666667,0.23214285714285715,0.08904109589041095,0.13333333333333333,0.0136986301369863,0.004113783943329398
sherloc_pooled_random_validation,mst,0.0,438,438,0,1.0,0.7671232876712328,0.6233133362470037,0.7671232876712328,0.2328767123287671,0.2328767123287671,0.04405804669042835
sherloc_pooled_random_validation,mst,0.5,438,377,61,0.860730593607306,0.8169761273209549,0.5536181575433912,0.7031963470319634,0.1830238726790451,0.15753424657534246,0.03067795045314808
sherloc_pooled_random_validation,mst,0.7,438,239,199,0.545662100456621,0.9037656903765691,0.7852545214836837,0.4931506849315068,0.09623430962343096,0.05251141552511415,0.009343840599377604
sherloc_pooled_random_validation,mst,0.8,438,204,234,0.4657534246575342,0.9411764705882353,0.8675133689839571,0.4383561643835616,0.058823529411764705,0.0273972602739726,0.004741922623890731
sherloc_pooled_random_validation,mst,0.9,438,128,310,0.2922374429223744,0.9609375,0.8674982911825017,0.2808219178082192,0.0390625,0.01141552511415525,0.0019846924235638968
sherloc_pooled_random_validation,pca_svm,0.0,438,438,0,1.0,0.7602739726027398,0.4672954768916678,0.7602739726027398,0.23972602739726026,0.23972602739726026,0.051319854879722675
sherloc_pooled_random_validation,pca_svm,0.5,438,354,84,0.8082191780821918,0.807909604519774,0.49178698333695914,0.6529680365296804,0.192090395480226,0.1552511415525114,0.03334728555143916
sherloc_pooled_random_validation,pca_svm,0.7,438,246,192,0.5616438356164384,0.8983739837398373,0.52,0.5045662100456622,0.1016260162601626,0.05707762557077625,0.014197336101724816
sherloc_pooled_random_validation,pca_svm,0.8,438,203,235,0.4634703196347032,0.9310344827586207,0.4658809523809524,0.4315068493150685,0.06896551724137931,0.0319634703196347,0.008364545590250919
sherloc_pooled_random_validation,pca_svm,0.9,438,154,284,0.3515981735159817,0.987012987012987,0.6644591611479028,0.3470319634703196,0.012987012987012988,0.0045662100456621,0.001488095238095238
sherloc_pooled_random_validation,pls_da,0.0,438,438,0,1.0,0.7648401826484018,0.45174612903696565,0.7648401826484018,0.23515981735159816,0.23515981735159816,0.05246614197820413
sherloc_pooled_random_validation,pls_da,0.5,438,339,99,0.773972602739726,0.8731563421828908,0.4882587505538325,0.6757990867579908,0.12684365781710916,0.09817351598173515,0.021083328244378398
sherloc_pooled_random_validation,pls_da,0.7,438,192,246,0.4383561643835616,0.9739583333333334,0.6748967444120506,0.4269406392694064,0.026041666666666668,0.01141552511415525,0.0023351941945202134
sherloc_pooled_random_validation,pls_da,0.8,438,140,298,0.319634703196347,0.9928571428571429,0.7,0.317351598173516,0.007142857142857143,0.00228310502283105,0.00041050903119868636
sherloc_pooled_random_validation,pls_da,0.9,438,84,354,0.1917808219178082,0.9880952380952381,0.6666666666666666,0.18949771689497716,0.011904761904761904,0.00228310502283105,0.00041050903119868636
sherloc_pooled_random_validation,standard_transformer,0.0,438,438,0,1.0,0.6529680365296804,0.4128383788403581,0.6529680365296804,0.3470319634703196,0.3470319634703196,0.07177357245717952
sherloc_pooled_random_validation,standard_transformer,0.5,438,259,179,0.591324200913242,0.8146718146718147,0.4860872644850545,0.4817351598173516,0.18532818532818532,0.1095890410958904,0.027077711513192635
sherloc_pooled_random_validation,standard_transformer,0.7,438,22,416,0.0502283105022831,0.8636363636363636,0.4634146341463415,0.04337899543378995,0.13636363636363635,0.00684931506849315,0.0011806375442739079
sherloc_pooled_random_validation,standard_transformer,0.8,438,1,437,0.00228310502283105,1.0,1.0,0.00228310502283105,0.0,0.0,0.0
sherloc_pooled_random_validation,standard_transformer,0.9,438,0,438,0.0,,,0.0,,0.0,0.0
