epoch,train_loss,val_macro_f1
1,1.093224929838345,0.6693814694477341
2,0.38888079911984247,0.7139968699970223
3,0.2197907346204437,0.79428622597433
4,0.14272019428939656,0.8381995416686218
5,0.10466463170174894,0.836960520698309
6,0.07849602568894624,0.8333700242587209
7,0.06672683305524546,0.8569955808464451
8,0.05534491578181242,0.8357201464611764
9,0.04868316457863769,0.8232102886570187
10,0.04468075108618058,0.847081211633383
11,0.038952778038922053,0.8202890823848293
12,0.03740781296911681,0.8367890876122398
13,0.030114182654029594,0.8488157765899499
14,0.02877005500004402,0.8465509446120499
15,0.025073069464094166,0.8454085497087095
16,0.02294817392007801,0.8449432514207283
17,0.02047571132866794,0.8645176589551601
18,0.021966950350103837,0.849158245257854
19,0.017671496077874226,0.8535364959207397
20,0.020527668714579516,0.83741002747818
21,0.01894840560311548,0.8652757899943215
22,0.014031454857543176,0.8674263749333772
23,0.016055691428582892,0.8686235850218852
24,0.012604971565426617,0.867884763923732
25,0.011196869360242874,0.8895274503581968
26,0.010623208130408754,0.8578545999391287
27,0.011072650766762874,0.8914915737294763
28,0.009218082146052721,0.8392762559759209
29,0.010768860995123196,0.839025085553172
30,0.009023877294485233,0.8654333037682195
31,0.010017050267598623,0.8530070029676168
32,0.007454534884138788,0.8556293081297025
33,0.014349514702114213,0.8597544822010041
34,0.012314849117758748,0.8635026661063807
35,0.007074043604119777,0.8747434866329531
36,0.004417531496387553,0.8408012810984221
37,0.006561798493880658,0.8749695185974664
38,0.008982668304991516,0.8720745459661
39,0.0085491437805668,0.8983024267699458
40,0.00698207411345532,0.8703262853015978
41,0.00873845850417575,0.8766569823883889
42,0.005478061044464241,0.8629409839547647
43,0.00578139932496987,0.8564032963821319
44,0.0069533745428810205,0.8597823242543967
45,0.007243383829537097,0.8492555310361283
