threshold,coverage,accepted_n,accuracy_on_accepted,macro_f1_on_accepted,rejected_n
0.0,1.0,1933,0.9756854630108639,0.7846191851047609,0
0.049999999999999996,1.0,1933,0.9756854630108639,0.7846191851047609,0
0.09999999999999999,1.0,1933,0.9756854630108639,0.7846191851047609,0
0.15,1.0,1933,0.9756854630108639,0.7846191851047609,0
0.19999999999999998,1.0,1933,0.9756854630108639,0.7846191851047609,0
0.24999999999999997,1.0,1933,0.9756854630108639,0.7846191851047609,0
0.3,1.0,1933,0.9756854630108639,0.7846191851047609,0
0.35,1.0,1933,0.9756854630108639,0.7846191851047609,0
0.39999999999999997,1.0,1933,0.9756854630108639,0.7846191851047609,0
0.44999999999999996,0.999482669425763,1932,0.9761904761904762,0.7848063232229335,1
0.49999999999999994,0.9989653388515262,1931,0.9766960124287933,0.7873500027046322,2
0.5499999999999999,0.9989653388515262,1931,0.9766960124287933,0.7873500027046322,2
0.6,0.9984480082772892,1930,0.9772020725388602,0.790088528571688,3
0.6499999999999999,0.9963786859803414,1926,0.9781931464174455,0.7896126995382363,7
0.7,0.9953440248318676,1924,0.9792099792099792,0.7903300695188922,9
0.7499999999999999,0.9943093636833937,1922,0.9797086368366286,0.7942710908982622,11
0.7999999999999999,0.9932747025349198,1920,0.9802083333333333,0.8606276392296529,13
0.85,0.991722710812209,1917,0.9812206572769953,0.8613649972306329,16
0.8999999999999999,0.9901707190894982,1914,0.9822361546499477,0.8651850274322564,19
0.95,0.9860320744956027,1906,0.9858342077649528,0.8727520749893776,27
