dataset,model,threshold,n_total,accepted_n,rejected_n,coverage,accuracy_on_accepted,macro_f1_on_accepted_present_labels,operational_recall_correct_accepted_over_all,false_discovery_rate_wrong_among_accepted,false_positive_rate_wrong_accepted_over_all,macro_one_vs_rest_fpr
sherloc_pooled_random_validation,cnn,0.0,438,438,0,1.0,0.6301369863013698,0.4283099836691589,0.6301369863013698,0.3698630136986301,0.3698630136986301,0.07131361574722281
sherloc_pooled_random_validation,cnn,0.05,438,438,0,1.0,0.6301369863013698,0.4283099836691589,0.6301369863013698,0.3698630136986301,0.3698630136986301,0.07131361574722281
sherloc_pooled_random_validation,cnn,0.1,438,438,0,1.0,0.6301369863013698,0.4283099836691589,0.6301369863013698,0.3698630136986301,0.3698630136986301,0.07131361574722281
sherloc_pooled_random_validation,cnn,0.15,438,438,0,1.0,0.6301369863013698,0.4283099836691589,0.6301369863013698,0.3698630136986301,0.3698630136986301,0.07131361574722281
sherloc_pooled_random_validation,cnn,0.2,438,438,0,1.0,0.6301369863013698,0.4283099836691589,0.6301369863013698,0.3698630136986301,0.3698630136986301,0.07131361574722281
sherloc_pooled_random_validation,cnn,0.25,438,438,0,1.0,0.6301369863013698,0.4283099836691589,0.6301369863013698,0.3698630136986301,0.3698630136986301,0.07131361574722281
sherloc_pooled_random_validation,cnn,0.3,438,432,6,0.9863013698630136,0.6319444444444444,0.4296354880269481,0.6232876712328768,0.3680555555555556,0.363013698630137,0.07014753212236856
sherloc_pooled_random_validation,cnn,0.35,438,384,54,0.8767123287671232,0.6614583333333334,0.43261131076135173,0.5799086757990868,0.3385416666666667,0.2968036529680365,0.05769202605997276
sherloc_pooled_random_validation,cnn,0.4,438,329,109,0.7511415525114156,0.7082066869300911,0.46635493103357606,0.5319634703196348,0.2917933130699088,0.2191780821917808,0.043878657139356333
sherloc_pooled_random_validation,cnn,0.45,438,279,159,0.636986301369863,0.7455197132616488,0.46236053109118125,0.4748858447488584,0.25448028673835127,0.16210045662100456,0.03401100143552781
sherloc_pooled_random_validation,cnn,0.5,438,230,208,0.5251141552511416,0.7913043478260869,0.4191785651330866,0.4155251141552511,0.20869565217391303,0.1095890410958904,0.02509494588597083
