spectrum_id,variant,spikes_replaced
SHERLOC_REGION_0088,despike_sg11_asls,0
SHERLOC_REGION_0091,despike_sg11_asls,0
SHERLOC_REGION_0107,despike_sg11_asls,0
SHERLOC_REGION_0108,despike_sg11_asls,0
SHERLOC_REGION_0109,despike_sg11_asls,1
SHERLOC_REGION_0114,despike_sg11_asls,0
SHERLOC_REGION_0116,despike_sg11_asls,1
SHERLOC_REGION_0119,despike_sg11_asls,0
SHERLOC_REGION_0120,despike_sg11_asls,0
SHERLOC_REGION_0121,despike_sg11_asls,2
SHERLOC_REGION_0122,despike_sg11_asls,2
SHERLOC_REGION_0123,despike_sg11_asls,1
SHERLOC_REGION_0124,despike_sg11_asls,0
SHERLOC_REGION_0125,despike_sg11_asls,1
SHERLOC_REGION_0126,despike_sg11_asls,0
SHERLOC_REGION_0127,despike_sg11_asls,0
SHERLOC_REGION_0128,despike_sg11_asls,1
SHERLOC_REGION_0129,despike_sg11_asls,1
SHERLOC_REGION_0130,despike_sg11_asls,1
SHERLOC_REGION_0131,despike_sg11_asls,0
SHERLOC_REGION_0138,despike_sg11_asls,0
SHERLOC_REGION_0140,despike_sg11_asls,0
SHERLOC_REGION_0141,despike_sg11_asls,0
SHERLOC_REGION_0142,despike_sg11_asls,0
SHERLOC_REGION_0143,despike_sg11_asls,0
SHERLOC_REGION_0144,despike_sg11_asls,0
SHERLOC_REGION_0145,despike_sg11_asls,0
SHERLOC_REGION_0147,despike_sg11_asls,1
SHERLOC_REGION_0152,despike_sg11_asls,1
SHERLOC_REGION_0156,despike_sg11_asls,1
SHERLOC_REGION_0157,despike_sg11_asls,0
SHERLOC_REGION_0159,despike_sg11_asls,0
SHERLOC_REGION_0160,despike_sg11_asls,0
SHERLOC_REGION_0161,despike_sg11_asls,0
SHERLOC_REGION_0163,despike_sg11_asls,0
SHERLOC_REGION_0168,despike_sg11_asls,0
SHERLOC_REGION_0170,despike_sg11_asls,0
SHERLOC_REGION_0178,despike_sg11_asls,1
SHERLOC_REGION_0179,despike_sg11_asls,0
SHERLOC_REGION_0181,despike_sg11_asls,0
SHERLOC_REGION_0190,despike_sg11_asls,0
SHERLOC_REGION_0191,despike_sg11_asls,2
SHERLOC_REGION_0192,despike_sg11_asls,1
SHERLOC_REGION_0193,despike_sg11_asls,1
SHERLOC_REGION_0194,despike_sg11_asls,0
SHERLOC_REGION_0195,despike_sg11_asls,0
SHERLOC_REGION_0199,despike_sg11_asls,0
SHERLOC_REGION_0200,despike_sg11_asls,1
SHERLOC_REGION_0201,despike_sg11_asls,1
SHERLOC_REGION_0202,despike_sg11_asls,1
SHERLOC_REGION_0203,despike_sg11_asls,0
SHERLOC_REGION_0204,despike_sg11_asls,0
SHERLOC_REGION_0205,despike_sg11_asls,0
SHERLOC_REGION_0209,despike_sg11_asls,0
SHERLOC_REGION_0210,despike_sg11_asls,0
SHERLOC_REGION_0211,despike_sg11_asls,1
SHERLOC_REGION_0212,despike_sg11_asls,1
SHERLOC_REGION_0213,despike_sg11_asls,2
SHERLOC_REGION_0214,despike_sg11_asls,1
SHERLOC_REGION_0215,despike_sg11_asls,0
SHERLOC_REGION_0216,despike_sg11_asls,0
SHERLOC_REGION_0217,despike_sg11_asls,0
SHERLOC_REGION_0218,despike_sg11_asls,1
SHERLOC_REGION_0221,despike_sg11_asls,0
