paper_table1_superclass,sherloc_region,n_training_usable_point_label_rows
Carbonate,dourbes,46
Carbonate,garde,57
Carbonate,quartier,48
Olivine,dourbes,23
Olivine,garde,98
Olivine,quartier,4
Other Silicate,dourbes,16
Other Silicate,garde,18
Other Silicate,guillaumes,1
Other Silicate,quartier,3
Perchlorate,guillaumes,3
Pyroxene,garde,2
Sulfate,dourbes,43
Sulfate,guillaumes,12
Sulfate,quartier,325
