region,target,standard_workbook,sheet_name,scan_name,ss_raman_file,ss_sol,ss_sclk,ss_srlc_sequence,ss_subscan,mapping_basis,reference
dourbes,Dourbes,D:\dyt\raman\metadata\mars\mars\区域\dourbes\标准数据D.xlsx,detail_500_1.1,0269_Dourbes Detail_500_1,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690849690_630rrs__0080000srlc11370w108cgnj04_R1_AllPoints_Raman.csv,269,0690849690.630,11370,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
dourbes,Dourbes,D:\dyt\raman\metadata\mars\mars\区域\dourbes\标准数据D.xlsx,detail_500_1.2,0269_Dourbes Detail_500_1,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690850340_585rrs__0080000srlc11370w208cgnj04_R1_AllPoints_Raman.csv,269,0690850340.585,11370,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
dourbes,Dourbes,D:\dyt\raman\metadata\mars\mars\区域\dourbes\标准数据D.xlsx,detail_500_2.1,0269_Dourbes Detail_500_2,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690851164_255rrs__0080000srlc11373w108cgnj04_R1_AllPoints_Raman.csv,269,0690851164.255,11373,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
dourbes,Dourbes,D:\dyt\raman\metadata\mars\mars\区域\dourbes\标准数据D.xlsx,detail_500_2.2,0269_Dourbes Detail_500_2,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690851813_405rrs__0080000srlc11373w208cgnj04_R1_AllPoints_Raman.csv,269,0690851813.405,11373,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
dourbes,Dourbes,D:\dyt\raman\metadata\mars\mars\区域\dourbes\标准数据D.xlsx,detail_500_3.1,0269_Dourbes Detail_500_3,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690852635_600rrs__0080000srlc11374w108cgnj04_R1_AllPoints_Raman.csv,269,0690852635.600,11374,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
dourbes,Dourbes,D:\dyt\raman\metadata\mars\mars\区域\dourbes\标准数据D.xlsx,detail_500_3.2,0269_Dourbes Detail_500_3,D:\dyt\raman\metadata\mars\mars\区域\dourbes\ss__0269_0690853284_920rrs__0080000srlc11374w208cgnj03_R1_AllPoints_Raman.csv,269,0690853284.920,11374,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
garde,Garde,D:\dyt\raman\metadata\mars\mars\区域\garde\标准数据G.xlsx,detail_500_1.1,0208_Garde Detail_500_1,D:\dyt\raman\metadata\mars\mars\区域\garde\ss__0208_0685432333_690rrs__0071836srlc11370w108cgnj03_R1_AllPoints_Raman.csv,208,0685432333.690,11370,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
garde,Garde,D:\dyt\raman\metadata\mars\mars\区域\garde\标准数据G.xlsx,detail_500_1.2,0208_Garde Detail_500_1,D:\dyt\raman\metadata\mars\mars\区域\garde\ss__0208_0685432982_755rrs__0071836srlc11370w208cgnj03_R1_AllPoints_Raman.csv,208,0685432982.755,11370,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
garde,Garde,D:\dyt\raman\metadata\mars\mars\区域\garde\标准数据G.xlsx,detail_500_2.1,0208_Garde Detail_500_2,D:\dyt\raman\metadata\mars\mars\区域\garde\ss__0208_0685433804_710rrs__0071836srlc11371w108cgnj03_R1_AllPoints_Raman.csv,208,0685433804.710,11371,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
garde,Garde,D:\dyt\raman\metadata\mars\mars\区域\garde\标准数据G.xlsx,detail_500_2.2,0208_Garde Detail_500_2,D:\dyt\raman\metadata\mars\mars\区域\garde\ss__0208_0685434454_680rrs__0071836srlc11371w208cgnj03_R1_AllPoints_Raman.csv,208,0685434454.680,11371,208,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
garde,Garde,D:\dyt\raman\metadata\mars\mars\区域\garde\标准数据G.xlsx,detail_500_3.1,0208_Garde Detail_500_3,D:\dyt\raman\metadata\mars\mars\区域\garde\ss__0208_0685435280_635rrs__0071836srlc11372w108cgnj03_R1_AllPoints_Raman.csv,208,0685435280.635,11372,108,"Order-matched by Corpolongo et al. (2023) scan list and local file naming: sheets follow scan/detail order; Raman CSVs sorted by sol, SRLC sequence, and w108/w208 subscan.","Corpolongo, A., et al. (2023). SHERLOC Raman mineral class detections of the Mars 2020 crater floor campaign. Journal of Geophysical Research: Planets, 128, e2022JE007455."
