sherloc_target,sherloc_scan_name,sherloc_label_status,n_candidate_region_spectra
Alfalfa,0370_Alfalfa HDR_500_1,weak_scan_level_label_not_point_level,3
Montpezat,0349_Montpezat HDR_500_1,weak_scan_level_label_not_point_level,3
