Wavenumber (cm⁻¹),Intensity
200.0,347.83517846919705
201.00097751710655,387.6080261429959
202.0019550342131,435.3576492423284
203.00293255131965,488.16300639395934
204.0039100684262,535.3810627460138
205.00488758553274,563.3795914183689
206.0058651026393,539.4340648180199
207.00684261974584,489.71071305917036
208.0078201368524,445.0952067401236
209.00879765395894,424.59453772419175
210.00977517106548,429.97256338355925
211.01075268817203,454.4923067580678
212.01173020527858,492.54793656747285
213.01270772238513,542.102724600684
214.01368523949168,603.871184686983
215.01466275659823,676.450109481429
216.01564027370478,761.8195900667341
217.01661779081132,859.1072481846165
218.01759530791787,963.2030376823388
219.01857282502445,1062.968611354124
220.019550342131,1146.8328256181273
221.02052785923755,1192.154015926777
222.0215053763441,1182.8189195611492
223.02248289345064,1114.3192563274065
224.0234604105572,1000.8814852954523
225.02443792766374,866.2341740451457
226.0254154447703,729.8565723468479
227.02639296187684,607.1022667900877
228.02737047898339,505.7923319579751
229.02834799608993,424.50271471146993
230.02932551319648,361.10985287077995
231.03030303030303,312.5628329071679
232.03128054740958,275.8650176508531
233.03225806451613,245.77481007286661
234.03323558162268,225.7369885734516
235.03421309872923,212.69577133514738
236.03519061583577,202.61893559251095
237.03616813294232,197.99309951002488
238.03714565004887,199.27997150597446
239.03812316715542,205.21215115297736
240.03910068426197,216.1246917072239
241.04007820136852,233.9653597283228
242.04105571847506,256.3448379417758
243.0420332355816,280.27747540059204
244.0430107526882,297.14667602380274
245.04398826979474,297.4015411762808
246.0449657869013,275.14955446747155
247.04594330400784,237.05797945969067
248.04692082111438,197.23947422840305
249.04789833822093,163.41031871984723
250.04887585532748,137.26301820864325
251.04985337243403,116.67843260369297
252.05083088954058,102.07051965127108
253.05180840664713,91.44957698563402
254.05278592375367,82.87630737798511
255.05376344086022,76.37524435103585
256.05474095796677,71.99147757194564
257.0557184750733,67.7269656056622
258.05669599217987,63.77771961729453
259.0576735092864,61.365063882482595
260.05865102639297,58.81394811526551
261.0596285434995,56.89802108875248
262.06060606060606,55.369799377408164
263.0615835777126,53.970027707609844
264.06256109481916,52.762699339832245
265.0635386119257,51.73879762128986
266.06451612903226,50.89655698095027
267.0654936461388,50.420799227061956
268.06647116324535,50.4630631213575
269.0674486803519,50.83834964362294
270.06842619745845,50.74219465918799
271.069403714565,51.29462511508279
272.07038123167155,52.492364399325744
273.0713587487781,53.29288674269035
274.07233626588464,55.20640347906668
275.0733137829912,57.04750307242218
276.07429130009774,58.45298781338283
277.0752688172043,59.82726043525969
278.07624633431084,62.32447197477103
279.0772238514174,65.07877379219465
280.07820136852393,67.93624470800299
281.0791788856305,71.26293550409036
282.08015640273703,75.31655690286617
283.0811339198436,79.42192187450512
284.08211143695013,84.65884905578655
285.0830889540567,91.42777129578761
286.0840664711632,99.7826572779525
287.0850439882698,109.66185559164721
288.0860215053764,121.10347691707223
289.0869990224829,132.74936640565085
290.0879765395895,142.89681318200422
291.088954056696,150.1846044419141
292.0899315738026,154.11661542295306
293.0909090909091,152.55460897399632
294.09188660801567,148.17826304297958
295.0928641251222,145.01107085385033
296.09384164222877,145.42316969855128
297.0948191593353,148.52715412675053
298.09579667644186,156.88774159504624
299.0967741935484,170.16124458317472
300.09775171065496,189.03023117474703
301.0987292277615,215.37162675314988
302.09970674486806,248.38486049229522
303.1006842619746,290.2758599445913
304.10166177908116,341.5621921540538
305.1026392961877,398.18557017908023
306.10361681329425,452.57415562865117
307.1045943304008,492.8263877514943
308.10557184750735,499.383160791144
309.1065493646139,467.30168516911283
310.10752688172045,408.8831260263679
311.108504398827,351.6280664745278
312.10948191593354,306.09592442276073
313.1104594330401,277.0957638461821
314.11143695014664,262.4552953267138
315.1124144672532,255.25239497581344
316.11339198435974,248.63650046568412
317.1143695014663,228.4491167704701
318.11534701857283,196.06380350531356
319.1163245356794,160.9552873526598
320.11730205278593,133.22632186359573
321.1182795698925,112.46981650440567
322.119257086999,97.97018164482387
323.1202346041056,87.23909175533989
324.1212121212121,78.77491646772626
325.1221896383187,73.22352823104873
326.1231671554252,67.05607405969492
327.12414467253177,62.55373182858765
328.1251221896383,58.71361849731386
329.12609970674487,54.33302862004028
330.1270772238514,51.12859085013983
331.12805474095796,48.53204975504502
332.1290322580645,46.08410948578464
333.13000977517106,43.99210353260815
334.1309872922776,42.49421226610643
335.13196480938416,40.84424415081014
336.1329423264907,39.42829345138764
337.13391984359725,38.087150734370354
338.1348973607038,36.67285950936182
339.13587487781035,35.2396134304362
340.1368523949169,34.6659086628434
341.13782991202345,33.8393166270733
342.13880742913,33.07753480401907
343.13978494623655,32.615066959828546
344.1407624633431,32.14466005157058
345.14173998044964,31.831914387267517
346.1427174975562,30.913492652972533
347.14369501466274,30.03883424542311
348.1446725317693,29.745561360924427
349.14565004887584,29.5436093369936
350.1466275659824,29.357039173477965
351.14760508308893,28.78752045565839
352.1485826001955,28.346639229505243
353.14956011730203,28.347371621096855
354.1505376344086,28.11901751704572
355.1515151515151,27.679767820017226
356.1524926686217,27.17560186275709
357.1534701857282,26.948337144828855
358.1544477028348,27.05260204808995
359.1554252199413,26.924304275010176
360.15640273704787,26.590481661296522
361.1573802541544,26.159843602518574
362.15835777126097,26.05213679076327
363.1593352883675,26.296575839785735
364.16031280547406,25.803982931474675
365.1612903225806,25.550516340472804
366.16226783968716,25.291921018884683
367.1632453567937,25.159324851714835
368.16422287390026,25.378624676123987
369.1652003910068,24.921406062449176
370.16617790811335,25.235880534588905
371.1671554252199,25.176481169462807
372.16813294232645,24.7067129750503
373.169110459433,24.750969605511727
374.17008797653955,24.91261480681772
375.1710654936461,24.74143003283332
376.1720430107527,24.734533667132826
377.17302052785925,24.959174489655794
378.1739980449658,25.049733241303574
379.17497556207235,25.345055210969107
380.1759530791789,26.28935004567627
381.17693059628544,26.67560625899479
382.177908113392,26.389913182569416
383.17888563049854,26.688706681782605
384.1798631476051,27.41117761932512
385.18084066471164,27.698040497485444
386.1818181818182,28.063292725198483
387.18279569892474,29.084845305105592
388.1837732160313,30.712740591611773
389.18475073313783,32.556934197027836
390.1857282502444,34.720905639211274
391.18670576735093,37.14752247699715
392.1876832844575,39.79561366129116
393.188660801564,42.66736292867458
394.1896383186706,45.76815986897382
395.1906158357771,48.507988051413584
396.1915933528837,50.43468244555879
397.1925708699902,51.13891808301639
398.19354838709677,50.59853607108685
399.1945259042033,50.43602925431929
400.19550342130987,51.44889631817024
401.1964809384164,53.93120070001658
402.19745845552296,58.12565757238354
403.1984359726295,64.21108007225219
404.19941348973606,71.40174030364248
405.2003910068426,80.40506160593218
406.20136852394916,90.50450363357348
407.2023460410557,99.67896786420118
408.20332355816225,104.28300555994537
409.20430107526886,99.6637949897063
410.2052785923754,86.26849158726282
411.20625610948196,70.25429898425115
412.2072336265885,57.103718880751444
413.20821114369505,48.32725046130645
414.2091886608016,42.9936007404107
415.21016617790815,39.531897631107455
416.2111436950147,37.452859022920826
417.21212121212125,36.49979067268829
418.2130987292278,36.14418044394521
419.21407624633434,35.652787475743025
420.2150537634409,35.20266037987925
421.21603128054744,35.86871036923067
422.217008797654,37.41490445704616
423.21798631476054,39.06003057251567
424.2189638318671,41.912311287926535
425.21994134897363,44.89041310612612
426.2209188660802,48.615596703277575
427.22189638318673,53.000848134592665
428.2228739002933,57.06102717199512
429.2238514173998,59.912315254540786
430.2248289345064,59.56024158430142
431.2258064516129,57.15344918528483
432.2267839687195,54.83131114112191
433.227761485826,54.143575260958144
434.22873900293257,54.91165001380812
435.2297165200391,57.61967698615517
436.23069403714567,61.193263204488076
437.2316715542522,66.23580695164306
438.23264907135876,73.66729893540459
439.2336265884653,82.62929714620377
440.23460410557186,92.20382463629625
441.2355816226784,103.9623178467434
442.23655913978496,115.91141171956055
443.2375366568915,124.07121776386434
444.23851417399806,124.69506322207965
445.2394916911046,115.7174285869916
446.24046920821115,99.19346275453567
447.2414467253177,81.05080526266445
448.24242424242425,66.1975108898571
449.2434017595308,56.70669885580597
450.24437927663735,51.21199590529392
451.2453567937439,48.55726935122145
452.24633431085044,47.13043414832836
453.247311827957,46.18255932315151
454.24828934506354,46.019517331475626
455.2492668621701,46.66794902729443
456.25024437927664,47.37282691033237
457.2512218963832,48.95732967159602
458.25219941348973,51.42211743018841
459.2531769305963,54.09800203739021
460.25415444770283,57.261829203841636
461.2551319648094,62.63386532141576
462.2561094819159,69.76905679805475
463.2570869990225,77.9728252276099
464.258064516129,87.23163094566117
465.2590420332356,98.05075632923534
466.2600195503421,109.6707755581592
467.26099706744867,120.0582087850017
468.2619745845552,123.53946668696318
469.26295210166177,115.66476195779623
470.2639296187683,95.19807307995833
471.26490713587486,75.20690161290968
472.2658846529814,61.23202761510389
473.26686217008796,52.320526219818696
474.2678396871945,46.614766617723966
475.26881720430106,43.10433302442501
476.2697947214076,40.66903706608643
477.27077223851416,39.266892739985934
478.2717497556207,38.549028202832474
479.27272727272725,38.323094823724595
480.2737047898338,38.48402251407424
481.27468230694035,38.55721393342462
482.2756598240469,38.93288357420958
483.27663734115345,39.56051029097406
484.27761485826,40.779696232055784
485.27859237536654,42.63330895116119
486.2795698924731,44.2310967015721
487.28054740957964,46.66152693200333
488.2815249266862,49.711897526127316
489.2825024437928,54.510062976678576
490.28347996089934,60.83885032126273
491.2844574780059,66.21773037587279
492.28543499511244,70.75993769494339
493.286412512219,76.67894344936214
494.28739002932554,83.01077924219025
495.2883675464321,90.44390186082296
496.28934506353863,101.06042128778422
497.2903225806452,114.59088092217571
498.29130009775173,129.72491540742206
499.2922776148583,150.4150706565263
500.2932551319648,177.41656118874
501.2942326490714,209.88315292445236
502.2952101661779,248.05324151070457
503.2961876832845,288.457954746189
504.297165200391,331.19772890283434
505.29814271749757,368.7480439735124
506.2991202346041,386.0182302913512
507.30009775171067,368.2986573884054
508.3010752688172,322.3534497469033
509.30205278592376,274.43500190424203
510.3030303030303,245.46704395290806
511.30400782013686,240.27301177576612
512.3049853372434,253.3944064370128
513.3059628543499,279.2654266311253
514.3069403714564,313.7305934880145
515.307917888563,351.327663249795
516.3088954056695,385.84401007288466
517.3098729227761,408.35141401015863
518.3108504398826,406.83812591211205
519.3118279569892,372.67737345395597
520.3128054740957,320.0309695450552
521.3137829912023,266.04299317100987
522.3147605083088,220.82263149180903
523.3157380254154,187.37440843428544
524.3167155425219,163.9220092376292
525.3176930596285,148.49899708535347
526.318670576735,138.306259778365
527.3196480938416,132.4998471837229
528.3206256109481,130.3562624054748
529.3216031280547,130.17571427318927
530.3225806451612,132.52053566653942
531.3235581622678,135.69114229307536
532.3245356793743,141.2529600962344
533.3255131964809,150.68902647806004
