Wavenumber (cm⁻¹),Intensity
200.0,474.83182586600316
201.00097751710655,464.4213165454601
202.0019550342131,454.401549027481
203.00293255131965,448.1284886451686
204.0039100684262,446.1338815803707
205.00488758553274,441.1099767875272
206.0058651026393,436.08147327083793
207.00684261974584,433.1539625517272
208.0078201368524,431.941112460109
209.00879765395894,430.52843274591066
210.00977517106548,428.9829667990704
211.01075268817203,427.1125246497737
212.01173020527858,425.8596783206536
213.01270772238513,426.1801947473206
214.01368523949168,428.06705783460393
215.01466275659823,429.5599052830937
216.01564027370478,429.72126143428386
217.01661779081132,429.3651354787411
218.01759530791787,430.0804564484802
219.01857282502445,430.372384057286
220.019550342131,430.5131598299068
221.02052785923755,431.84554804920265
222.0215053763441,434.47145851014716
223.02248289345064,434.391842862574
224.0234604105572,435.14510463394197
225.02443792766374,436.59050881813295
226.0254154447703,439.0250326363379
227.02639296187684,443.13425698448344
228.02737047898339,445.81062886268796
229.02834799608993,448.0740517908069
230.02932551319648,451.2489450156967
231.03030303030303,455.5008275254097
232.03128054740958,458.82757909378626
233.03225806451613,463.8327643856515
234.03323558162268,464.6271713824923
235.03421309872923,460.995402679585
236.03519061583577,457.07398993571013
237.03616813294232,453.18046528390886
238.03714565004887,447.8478870614936
239.03812316715542,443.5299339408295
240.03910068426197,441.2724587714875
241.04007820136852,437.7743672485945
242.04105571847506,436.5841610477986
243.0420332355816,435.5157895027113
244.0430107526882,434.2871848436388
245.04398826979474,433.8768461381991
246.0449657869013,430.6673025783053
247.04594330400784,432.4570398087051
248.04692082111438,432.99334553648157
249.04789833822093,429.7884404843951
250.04887585532748,430.5355194039173
251.04985337243403,429.53612602087276
252.05083088954058,429.0744385073004
253.05180840664713,429.4663905527898
254.05278592375367,429.8164910243613
255.05376344086022,430.96275857170576
256.05474095796677,430.1138798279553
257.0557184750733,430.00502692715946
258.05669599217987,431.04670379021564
259.0576735092864,430.79926112239485
260.05865102639297,432.6761758017982
261.0596285434995,431.1300097723932
262.06060606060606,429.71797229293554
263.0615835777126,431.82817352777835
264.06256109481916,432.86299759828046
265.0635386119257,433.1700178155686
266.06451612903226,434.868090388823
267.0654936461388,437.7962523655975
268.06647116324535,440.0043349702943
269.0674486803519,439.53662992169524
270.06842619745845,441.94858627134903
271.069403714565,445.7509124212395
272.07038123167155,448.6643835072121
