Wavenumber (cm⁻¹),Intensity
200.0,-628.072
201.00097751710655,-524.4878435972631
202.0019550342131,-420.9036871945261
203.00293255131965,-317.31953079178913
204.0039100684262,-213.73537438905225
205.00488758553274,-110.15121798631526
206.0058651026393,-6.567061583578322
207.00684261974584,97.01709481915867
208.0078201368524,200.6012512218956
209.00879765395894,304.1854076246326
210.00977517106548,406.9277458455521
211.01075268817203,424.3258924731181
212.01173020527858,443.2207741935482
213.01270772238513,462.5856950146627
214.01368523949168,469.560439882698
215.01466275659823,464.37880645161295
216.01564027370478,462.68144574780064
217.01661779081132,457.9894545454547
218.01759530791787,446.50657478005894
219.01857282502445,427.84639882697917
220.019550342131,401.1737693059625
221.02052785923755,362.39092375366505
222.0215053763441,301.46977419354806
223.02248289345064,261.8699139784942
224.0234604105572,210.82181231671512
225.02443792766374,151.25640860215015
226.0254154447703,85.52342913000952
227.02639296187684,37.591642228738934
228.02737047898339,20.892033235581547
229.02834799608993,0.9702150537634586
230.02932551319648,7.803343108504418
231.03030303030303,18.20687878787879
232.03128054740958,19.109823069403713
233.03225806451613,15.360516129032261
234.03323558162268,11.457382209188676
235.03421309872923,3.129673509286407
236.03519061583577,6.191085043988153
237.03616813294232,39.03657282502428
238.03714565004887,74.51496969696953
239.03812316715542,106.52149853372417
240.03910068426197,134.97172727272707
241.04007820136852,163.89972825024407
242.04105571847506,203.182791788856
243.0420332355816,235.97018866080143
244.0430107526882,251.8202258064518
245.04398826979474,261.9269149560119
246.0449657869013,269.4975464320627
247.04594330400784,276.48632160312815
248.04692082111438,283.46993841642234
249.04789833822093,286.4394340175953
250.04887585532748,286.57359237536645
251.04985337243403,278.752046920821
252.05083088954058,266.6614545454544
253.05180840664713,251.29076441837714
254.05278592375367,232.24719648093824
255.05376344086022,212.80077419354836
256.05474095796677,207.10714369501463
257.0557184750733,200.33298826979464
258.05669599217987,189.15517986314754
259.0576735092864,174.89177908113385
260.05865102639297,160.09560703812312
261.0596285434995,146.28236363636358
262.06060606060606,130.98309090909086
263.0615835777126,104.98075073313781
264.06256109481916,78.11801759530792
265.0635386119257,59.3051622678397
266.06451612903226,45.72990322580648
267.0654936461388,32.192974584555266
268.06647116324535,18.796329423264954
269.0674486803519,5.983774193548415
270.06842619745845,0.6250508308895094
271.069403714565,6.367766373411503
272.07038123167155,11.385322580645129
273.0713587487781,15.798601173020499
274.07233626588464,19.156632453567944
275.0733137829912,18.55752785923754
276.07429130009774,18.415267839687207
277.0752688172043,17.2557741935484
278.07624633431084,15.86463049853377
279.0772238514174,12.151063538612002
280.07820136852393,6.5731319648094475
281.0791788856305,2.507683284457478
282.08015640273703,2.52965004887585
283.0811339198436,2.833817204301073
284.08211143695013,3.519451612903101
285.0830889540567,10.325286412512133
286.0840664711632,14.73354447702831
287.0850439882698,16.5626568914956
288.0860215053764,15.668838709677035
289.0869990224829,5.7192873900293115
290.0879765395895,5.518636363636427
291.088954056696,8.869100684262584
292.0899315738026,26.56101857282529
293.0909090909091,33.812636363636244
294.09188660801567,30.063907135874793
295.0928641251222,27.961438905181
296.09384164222877,33.521900293255285
297.0948191593353,38.96586412512235
298.09579667644186,44.86821212121228
299.0967741935484,50.464419354838775
300.09775171065496,52.56522091886604
301.0987292277615,50.98679667644182
302.09970674486806,50.82847800586525
303.1006842619746,57.03556989247325
304.10166177908116,62.16902834799602
305.1026392961877,58.47238416422275
306.10361681329425,52.81341837732158
307.1045943304008,52.012018572825106
308.10557184750735,56.45389149560126
309.1065493646139,61.86536754643222
310.10752688172045,71.23732258064531
311.108504398827,81.83519354838742
312.10948191593354,103.34147702834834
313.1104594330401,129.9992658846536
314.11143695014664,175.5544193548392
315.1124144672532,214.5994897360708
316.11339198435974,252.4345708699906
317.1143695014663,288.7782961876836
318.11534701857283,323.8017976539592
319.1163245356794,356.6702492668624
320.11730205278593,388.5658269794724
321.1182795698925,423.0089784946239
322.119257086999,459.5627458455525
323.1202346041056,493.2456715542523
324.1212121212121,520.7194545454546
325.1221896383187,545.0101974584555
326.1231671554252,553.067724340176
327.12414467253177,557.9989550342132
328.1251221896383,569.4796666666666
329.12609970674487,585.376146627566
330.1270772238514,592.7206373411535
331.12805474095796,580.6823137829913
332.1290322580645,567.9984193548387
333.13000977517106,556.2594379276638
334.1309872922776,543.9568905180842
335.13196480938416,533.1352815249268
336.1329423264907,523.0423079178887
337.13391984359725,509.66434115347033
338.1348973607038,490.8696099706747
339.13587487781035,473.10917399804504
340.1368523949169,468.1257565982405
341.13782991202345,463.1829208211145
342.13880742913,453.3444105571849
343.13978494623655,442.18923655913983
344.1407624633431,439.8582258064514
345.14173998044964,451.63864222873883
346.1427174975562,461.39467350928646
347.14369501466274,458.59225513196486
348.1446725317693,455.4174125122191
349.14565004887584,450.74570674486813
350.1466275659824,445.944357771261
351.14760508308893,444.2633137829912
352.1485826001955,446.43441837732155
353.14956011730203,450.27548387096755
354.1505376344086,460.75911827956963
355.1515151515151,468.70563636363653
356.1524926686217,462.3650381231674
357.1534701857282,453.0867751710656
358.1544477028348,450.76872238514164
359.1554252199413,454.6396686217008
360.15640273704787,455.7410254154449
361.1573802541544,449.93769892473136
362.15835777126097,444.4615718475074
363.1593352883675,441.6661505376345
364.16031280547406,438.6001212121214
365.1612903225806,431.84748387096806
366.16226783968716,423.04430107526906
367.1632453567937,418.06212121212116
368.16422287390026,420.1444281524926
369.1652003910068,420.80584652981446
370.16617790811335,414.9037702834802
371.1671554252199,409.0326480938418
372.16813294232645,405.80304496578697
373.169110459433,404.15629618768327
374.17008797653955,405.73973313782966
375.1710654936461,411.27307233626567
376.1720430107527,414.01878494623645
377.17302052785925,407.74904105571835
378.1739980449658,402.15394623655914
379.17497556207235,401.23139687194526
380.1759530791789,401.0804604105572
381.17693059628544,399.3418387096774
382.177908113392,396.7570703812317
383.17888563049854,398.0941173020529
384.1798631476051,407.8141407624634
385.18084066471164,416.69429130009775
386.1818181818182,421.3765454545455
387.18279569892474,426.8134301075269
388.1837732160313,437.1762023460411
389.18475073313783,450.8584809384165
390.1857282502444,468.3543030303031
391.18670576735093,490.97218181818187
392.1876832844575,508.98170674486806
393.188660801564,509.44455620723363
394.1896383186706,508.97754545454546
395.1906158357771,503.9085307917889
396.1915933528837,495.893559139785
397.1925708699902,479.383494623656
398.19354838709677,456.1137096774195
399.1945259042033,439.9811788856305
400.19550342130987,438.1042443792767
401.1964809384164,432.5565835777128
402.19745845552296,411.2517624633433
403.1984359726295,391.22340078201375
404.19941348973606,384.1859970674487
405.2003910068426,382.9954017595308
406.20136852394916,376.79142913000993
407.2023460410557,364.41306158357787
408.20332355816225,354.8752316715543
409.20430107526886,353.7705698924731
410.2052785923754,352.5571642228738
411.20625610948196,349.34343792766356
412.2072336265885,344.80025122189613
413.20821114369505,337.8665366568912
414.2091886608016,330.285469208211
415.21016617790815,328.9299393939397
416.2111436950147,338.05285630498565
417.21212121212125,346.4052121212123
418.2130987292278,351.3676637341155
419.21407624633434,355.5499618768329
420.2150537634409,357.96426881720436
421.21603128054744,359.97559433040084
422.217008797654,362.843017595308
423.21798631476054,366.46945845552307
424.2189638318671,369.2239608993158
425.21994134897363,369.92589736070386
426.2209188660802,371.0095083088955
427.22189638318673,373.4030488758554
428.2228739002933,375.7537859237537
429.2238514173998,377.170449657869
430.2248289345064,378.4558377321604
431.2258064516129,381.4645483870969
432.2267839687195,386.5499677419356
433.227761485826,391.9127751710656
434.22873900293257,397.86736363636373
435.2297165200391,403.71145356793755
436.23069403714567,409.2700459433041
437.2316715542522,412.5255806451612
438.23264907135876,406.3736080156401
439.2336265884653,394.70998142717485
440.23460410557186,386.42227859237533
441.2355816226784,382.94985043988265
442.23655913978496,382.7864193548388
443.2375366568915,392.37009970674495
444.23851417399806,398.7207116324535
445.2394916911046,393.89562463343105
446.24046920821115,387.79019941348974
447.2414467253177,388.84624926686223
448.24242424242425,394.4736666666667
449.2434017595308,396.2737272727273
450.24437927663735,392.3245698924731
451.2453567937439,389.0013558162268
452.24633431085044,387.699357771261
453.247311827957,383.01264516129027
454.24828934506354,366.7104086021505
455.2492668621701,348.9997653958944
456.25024437927664,339.9028817204301
457.2512218963832,337.2061094819159
458.25219941348973,333.5075366568915
459.2531769305963,328.2960117302053
460.25415444770283,323.21886608015643
461.2551319648094,318.5045747800587
462.2561094819159,312.00196871945263
463.2570869990225,299.49869012707734
464.258064516129,285.4160000000001
465.2590420332356,272.63962952101673
466.2600195503421,261.60466568914967
467.26099706744867,254.971504398827
468.2619745845552,254.83510948191594
469.26295210166177,252.4773450635387
470.2639296187683,243.8819413489737
471.26490713587486,235.2746529814273
472.2658846529814,226.669530791789
473.26686217008796,217.62767155425234
474.2678396871945,206.9988836754645
475.26881720430106,196.35487096774204
476.2697947214076,191.86167448680345
477.27077223851416,195.67605669599212
478.2717497556207,193.9622678396875
479.27272727272725,178.23900000000035
480.2737047898338,165.59351808406657
481.27468230694035,161.962651026393
482.2756598240469,159.76717302052796
483.27663734115345,154.61062267839705
484.27761485826,147.54322091886627
485.27859237536654,140.3018797653961
486.2795698924731,132.98463440860235
487.28054740957964,127.78664418377323
488.2815249266862,127.15036656891498
489.2825024437928,124.66959726295191
490.28347996089934,117.02378885630476
491.2844574780059,106.90419648093807
492.28543499511244,91.95731476050787
493.286412512219,76.44924144672507
494.28739002932554,69.47501466275664
495.2883675464321,70.94761094819161
496.28934506353863,69.35959921798617
497.2903225806452,62.244451612903084
498.29130009775173,55.61950146627556
499.2922776148583,50.21261974584546
500.2932551319648,44.33780058651014
501.2942326490714,36.68827272727259
502.2952101661779,29.3046539589442
503.2961876832845,25.57266862170087
504.297165200391,24.539456500488733
505.29814271749757,21.458429130009694
506.2991202346041,15.409510263929546
507.30009775171067,9.378113391984293
508.3010752688172,3.8659139784945786
509.30205278592376,1.5962756598240713
