Wavenumber (cm⁻¹),Intensity
200.0,1146.4815395146234
201.00097751710655,1143.1752841014275
202.0019550342131,1138.4114015425753
203.00293255131965,1132.3566282386082
204.0039100684262,1128.3413812172755
205.00488758553274,1124.5946948859087
206.0058651026393,1123.496588700859
207.00684261974584,1124.3384953193333
208.0078201368524,1125.664837284461
209.00879765395894,1127.2654816159074
210.00977517106548,1126.1452927581615
211.01075268817203,1127.885373716692
212.01173020527858,1131.706831899297
213.01270772238513,1131.9966089913326
214.01368523949168,1133.2441089642637
215.01466275659823,1137.1177384323594
216.01564027370478,1142.2649320533353
217.01661779081132,1146.470998723003
218.01759530791787,1148.4256714411108
219.01857282502445,1151.9140312379673
220.019550342131,1152.424332932675
221.02052785923755,1150.0804242114016
222.0215053763441,1149.469174764081
223.02248289345064,1154.1862262106758
224.0234604105572,1156.955857485062
225.02443792766374,1164.3632024062617
226.0254154447703,1178.4578570866747
227.02639296187684,1173.3958628963826
228.02737047898339,1173.0532373077383
229.02834799608993,1179.6521688676007
230.02932551319648,1188.5618993206044
231.03030303030303,1193.7254617613596
232.03128054740958,1194.2826238136304
233.03225806451613,1193.2360546600557
234.03323558162268,1189.0445686902954
235.03421309872923,1182.1583116073973
236.03519061583577,1180.2047804144988
237.03616813294232,1178.8193442038264
238.03714565004887,1175.9562398290877
239.03812316715542,1171.6476747812144
240.03910068426197,1167.9837143999564
241.04007820136852,1172.1390817849897
242.04105571847506,1174.8733935853709
243.0420332355816,1176.1374195186706
244.0430107526882,1177.6085539340654
245.04398826979474,1178.0608139609153
246.0449657869013,1179.1317730394253
247.04594330400784,1184.14525814846
248.04692082111438,1189.27150414213
249.04789833822093,1188.5603381191534
250.04887585532748,1185.4108916819398
251.04985337243403,1196.6909166233263
252.05083088954058,1202.5591435835183
253.05180840664713,1195.1807347118738
254.05278592375367,1194.2869537908746
255.05376344086022,1196.9458101577447
256.05474095796677,1195.1118756768965
257.0557184750733,1195.677965011944
258.05669599217987,1202.9695527094982
259.0576735092864,1197.4733670496644
260.05865102639297,1190.6988010360344
261.0596285434995,1188.4078844012029
262.06060606060606,1189.4732122154965
263.0615835777126,1189.2527216193084
264.06256109481916,1187.4840966178638
265.0635386119257,1190.8780344558052
266.06451612903226,1190.181214692441
267.0654936461388,1183.3973090999928
268.06647116324535,1190.074035205012
269.0674486803519,1190.4405823909449
270.06842619745845,1193.4276251567608
271.069403714565,1199.0702898596744
272.07038123167155,1199.7723570540907
273.0713587487781,1195.594186914004
274.07233626588464,1196.5297928916805
275.0733137829912,1200.5733680184628
276.07429130009774,1207.0484728234628
277.0752688172043,1218.0100402272315
278.07624633431084,1217.3594640230322
279.0772238514174,1215.2628691363927
280.07820136852393,1215.5251690926161
281.0791788856305,1217.7668498153014
282.08015640273703,1221.5642236356782
283.0811339198436,1228.5064961295714
284.08211143695013,1232.1712584634697
285.0830889540567,1232.9716007747952
286.0840664711632,1235.5608850256585
287.0850439882698,1239.5597570142224
288.0860215053764,1242.7804388796328
289.0869990224829,1246.1124938499152
290.0879765395895,1252.2054614111894
291.088954056696,1262.5492574860355
292.0899315738026,1265.7470763898903
293.0909090909091,1273.8958654183405
294.09188660801567,1283.7965314917244
295.0928641251222,1290.1964697353935
296.09384164222877,1298.9388535597866
297.0948191593353,1309.9774848207066
298.09579667644186,1322.4806541602873
299.0967741935484,1336.6465833015507
300.09775171065496,1353.8162282592675
301.0987292277615,1376.5213034090634
302.09970674486806,1397.114928726412
303.1006842619746,1422.7047672828012
304.10166177908116,1450.7142688289625
305.1026392961877,1471.2677829881616
306.10361681329425,1493.7149019749666
307.1045943304008,1519.8609299731243
308.10557184750735,1547.4700532981024
309.1065493646139,1573.4705441822127
310.10752688172045,1597.0880832184926
311.108504398827,1625.9057826882752
312.10948191593354,1654.7045511748768
313.1104594330401,1684.0020296863556
314.11143695014664,1716.1541914126917
315.1124144672532,1749.3773077641945
316.11339198435974,1784.057716334512
317.1143695014663,1824.169913593449
318.11534701857283,1866.1381154814499
319.1163245356794,1903.0534357560798
320.11730205278593,1930.8621633980372
321.1182795698925,1954.1180977622544
322.119257086999,1960.5973054816993
323.1202346041056,1953.2063873285315
324.1212121212121,1943.4442311541045
325.1221896383187,1910.4538687310699
326.1231671554252,1866.711837860508
327.12414467253177,1815.5043527891876
