threshold,coverage,accepted_n,accuracy_on_accepted,macro_f1_on_accepted,rejected_n
0.0,1.0,1800,0.9911111111111112,0.991118553064733,0
0.049999999999999996,1.0,1800,0.9911111111111112,0.991118553064733,0
0.09999999999999999,1.0,1800,0.9911111111111112,0.991118553064733,0
0.15,1.0,1800,0.9911111111111112,0.991118553064733,0
0.19999999999999998,1.0,1800,0.9911111111111112,0.991118553064733,0
0.24999999999999997,1.0,1800,0.9911111111111112,0.991118553064733,0
0.3,1.0,1800,0.9911111111111112,0.991118553064733,0
0.35,1.0,1800,0.9911111111111112,0.991118553064733,0
0.39999999999999997,1.0,1800,0.9911111111111112,0.991118553064733,0
0.44999999999999996,1.0,1800,0.9911111111111112,0.991118553064733,0
0.49999999999999994,1.0,1800,0.9911111111111112,0.991118553064733,0
0.5499999999999999,1.0,1800,0.9911111111111112,0.991118553064733,0
0.6,1.0,1800,0.9911111111111112,0.991118553064733,0
0.6499999999999999,0.9988888888888889,1798,0.9916573971078977,0.9916563606442277,2
0.7,0.9988888888888889,1798,0.9916573971078977,0.9916563606442277,2
0.7499999999999999,0.9983333333333333,1797,0.991652754590985,0.9916563606442277,3
0.7999999999999999,0.9977777777777778,1796,0.9916481069042317,0.991641676032966,4
0.85,0.9972222222222222,1795,0.9922005571030641,0.9921862609229104,5
0.8999999999999999,0.9966666666666667,1794,0.992196209587514,0.9921727127700657,6
0.95,0.9938888888888889,1789,0.994969256567915,0.9949409475478538,11
