,accuracy,accuracy,accuracy,macro_f1,macro_f1,macro_f1,weighted_f1,weighted_f1,weighted_f1
qc_policy,balanced_qc_794,hard_only_halides_excluded_900,strict_qc_637,balanced_qc_794,hard_only_halides_excluded_900,strict_qc_637,balanced_qc_794,hard_only_halides_excluded_900,strict_qc_637
model,,,,,,,,,
cnn,0.7217391304347827,0.6616541353383458,0.5384615384615384,0.64975473793675,0.5529736044686211,0.4690900793743603,0.7091265415295215,0.6455877076015462,0.5126686460537393
mst,0.7652173913043478,0.7669172932330827,0.6923076923076923,0.6361527778038097,0.6365142641690491,0.6118947718947718,0.7626906356280693,0.767537042422991,0.7114009799724086
pca_svm,0.7652173913043478,0.7218045112781954,0.7252747252747253,0.6323948060486523,0.6092510799341918,0.6690436318067897,0.7618056484578224,0.7126780351488231,0.7090888309685301
pls_da,0.591304347826087,0.5488721804511278,0.5384615384615384,0.4757697435578443,0.3757567941602333,0.4162066700859804,0.5829697475622,0.5092856777788213,0.5198082591555497
standard_transformer,0.7739130434782608,0.7593984962406015,0.7472527472527473,0.6652571503593361,0.6742407372762528,0.6509620080773927,0.7761254475010869,0.7493245751908378,0.7451747306417636
