wavenumber_cm-1,intensity
89.306,0.0
90.701,0.0020125493263859606
92.096,0.0010793248701736883
93.49,0.0011955342885195122
94.885,0.00192163232144764
96.279,0.001241533382416059
97.673,0.0033064219551810453
99.067,0.0024894172443746614
100.461,0.0032326798628950163
101.854,0.004557478158728793
103.247,0.003914453952466786
104.64,0.006232691288819974
106.032,0.0036648554578709346
107.425,0.002677735619390222
108.817,0.001962592366186092
110.209,0.002174114534517711
111.601,0.0024937748752327494
112.992,0.0033244915703221534
114.384,0.003485471436344287
115.775,0.002484170180611272
117.166,0.001890722153781299
118.556,0.0010659287407826718
119.947,0.0
121.337,0.0011252289719763415
122.727,0.0
124.116,0.0011643310176377905
125.506,0.0
126.895,0.0
128.284,0.0003191712179125298
129.673,0.0
131.062,0.0
132.45,0.0
133.838,0.0006876437500381078
135.226,0.0005858731934868008
136.614,0.0012454571171336018
138.001,0.0033460511645700165
139.388,0.0038927874002688016
140.775,0.006764482907345275
142.162,0.008131712583768439
143.549,0.00993389724544513
144.935,0.013324997932689467
146.321,0.02093803400611308
147.707,0.029588327377203148
149.093,0.039307324928548645
150.478,0.05382439164126972
151.863,0.0625326482996798
153.248,0.06763526693478021
154.633,0.06318287050095209
156.018,0.051458561591030974
157.402,0.04048978948427559
158.786,0.030814489436581445
160.17,0.021721215621007844
161.554,0.014240890624849034
162.937,0.01063177412434643
164.32,0.00514961762952179
165.703,0.002753061817901953
167.086,0.00381320936247483
168.469,0.0017931101225653627
169.851,0.00025802101925098605
171.233,0.000828794046261399
172.615,6.446270428840785e-05
173.996,0.0
175.378,4.628520743217797e-05
176.759,0.0004004699843131965
178.14,0.0
179.521,0.0007400969539565495
180.901,0.0
182.281,0.0013132855006830657
183.662,4.736006918671506e-05
185.041,0.0002768695390428072
186.421,0.0004685747959589845
187.8,0.0
189.18,0.0007541134088267706
190.558,0.001259039615393179
191.937,0.0
193.316,0.002496510262631943
194.694,0.0001081548307803195
196.072,0.0
197.45,0.0
198.827,0.000855214802932399
200.205,0.00033477435988129455
201.582,0.004025959179588015
202.959,0.004344399464066916
204.336,0.004596092969086629
205.712,0.005930631030390907
207.088,0.0057226527604616615
208.465,0.005241129135539278
209.84,0.004642632770634135
211.216,0.0018488207489441414
212.591,0.0029356193315777895
213.967,0.00222950452245479
215.341,0.0020084001461307755
216.716,0.003516629617601935
218.091,0.0007993664159061266
219.465,0.001766717005148278
220.839,0.0010628178857170932
222.213,0.0028378720010097773
223.586,0.00034557824075586596
224.96,0.0021246851433282714
226.333,0.0
227.706,0.0006192920710846291
229.079,0.0
230.451,0.0007018363767846464
231.823,0.0010738672653655002
233.195,0.00034295080884602224
234.567,0.0
235.939,0.0005910363002970827
237.31,0.0006657381688354138
238.682,0.0
240.052,0.0
241.423,0.0
242.794,0.0
244.164,0.00017053531474987962
245.534,0.0
246.904,0.00070207930060148
248.274,0.0
249.643,0.0
251.012,0.0
252.381,0.0
253.75,0.0
255.118,0.0007333806963964959
256.487,0.0014542942613347451
257.855,0.0030944598125198283
259.223,0.005012345904780969
260.59,0.006577738661896139
261.958,0.008440097830907389
263.325,0.010728010108710582
264.692,0.012452850007400307
266.059,0.017964401387975924
267.425,0.023677449903406107
268.791,0.03192655191284806
270.158,0.04132148977776354
271.523,0.05364386163884431
272.889,0.06965531450467077
274.255,0.08791378449011199
275.62,0.11097633796051613
276.985,0.13158264798033503
278.35,0.15150139916843705
279.714,0.1591853996391453
281.078,0.1568433691311992
282.443,0.1376144371343352
283.806,0.1167069895874155
285.17,0.09465454246722521
286.534,0.07091371063057508
287.897,0.05587158871315881
289.26,0.03886284713053348
290.623,0.02983758884744945
291.985,0.019213622530497833
293.348,0.016222657456762747
294.71,0.01126988455020901
296.072,0.006622964983269351
297.433,0.004703726329055392
298.795,0.004180474775473544
300.156,0.0013253683052389031
301.517,0.0013209068902619477
302.878,0.0
304.239,0.0
