dataset,model,threshold,n_total,accepted_n,rejected_n,coverage,rejection_rate,accuracy_on_accepted,macro_f1_on_accepted,weighted_f1_on_accepted,precision_micro_on_accepted,operational_recall_correct_accepted_over_all,false_discovery_rate_wrong_among_accepted,false_positive_rate_wrong_accepted_over_all,macro_one_vs_rest_fpr,selection_rule
parent_heldout_test,MST best-grid diagnostic,0.95,133,109,24,0.8195488721804511,0.18045112781954886,0.8715596330275229,0.7315642204478977,0.8660416570071974,0.8715596330275229,0.7142857142857143,0.12844036697247707,0.10526315789473684,0.0090278337962762,minimum false-discovery rate while retaining >=50% coverage
parent_heldout_test,MST validation-selected,0.9,133,113,20,0.849624060150376,0.15037593984962405,0.8407079646017699,0.7011679771860767,0.8323836719203714,0.8407079646017699,0.7142857142857143,0.1592920353982301,0.13533834586466165,0.011529369066935864,minimum false-discovery rate while retaining >=50% coverage
parent_heldout_test,Optimized 1D-CNN,0.9,133,72,61,0.5413533834586466,0.45864661654135336,0.8472222222222222,0.6874236874236874,0.8375220458553793,0.8472222222222222,0.45864661654135336,0.1527777777777778,0.08270676691729323,0.0071092940131052655,minimum false-discovery rate while retaining >=50% coverage
parent_heldout_test,PCA-SVM,0.8,133,69,64,0.518796992481203,0.48120300751879697,0.9420289855072463,0.7670329670329671,0.9370600414078674,0.9420289855072463,0.48872180451127817,0.057971014492753624,0.03007518796992481,0.002552145172834828,minimum false-discovery rate while retaining >=50% coverage
parent_heldout_test,PLS-DA,0.2,133,111,22,0.8345864661654135,0.16541353383458646,0.5945945945945946,0.43666440196898715,0.5846110538073002,0.5945945945945946,0.49624060150375937,0.40540540540540543,0.3383458646616541,0.027925130579417465,minimum false-discovery rate while retaining >=50% coverage
parent_heldout_test,Standard Transformer,0.95,133,112,21,0.8421052631578947,0.15789473684210525,0.8571428571428571,0.7013295225436832,0.8562763923959432,0.8571428571428571,0.7218045112781954,0.14285714285714285,0.12030075187969924,0.010143448867398545,minimum false-discovery rate while retaining >=50% coverage
sherloc_leave_one_target_out,SHERLOC MST adapted,0.75,696,367,329,0.5272988505747126,0.47270114942528735,0.8528610354223434,0.22912959620737428,0.8316269955321163,0.8528610354223434,0.44971264367816094,0.14713896457765668,0.07758620689655173,0.01685842586432099,minimum false-discovery rate while retaining >=50% coverage
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.75,696,418,278,0.6005747126436781,0.3994252873563218,0.638755980861244,0.16868118791007086,0.5878506563647652,0.638755980861244,0.38362068965517243,0.361244019138756,0.21695402298850575,0.045290773227738314,minimum false-discovery rate while retaining >=50% coverage
