dataset,model,threshold,n_total,accepted_n,rejected_n,coverage,rejection_rate,accuracy_on_accepted,macro_f1_on_accepted,weighted_f1_on_accepted,precision_micro_on_accepted,operational_recall_correct_accepted_over_all,false_discovery_rate_wrong_among_accepted,false_positive_rate_wrong_accepted_over_all,macro_one_vs_rest_fpr
parent_heldout_test,PCA-SVM,0.0,133,133,0,1.0,0.0,0.7593984962406015,0.6509191113201143,0.7551024749615608,0.7593984962406015,0.7593984962406015,0.24060150375939848,0.24060150375939848,0.020781920134938278
parent_heldout_test,PCA-SVM,0.05,133,133,0,1.0,0.0,0.7593984962406015,0.6509191113201143,0.7551024749615608,0.7593984962406015,0.7593984962406015,0.24060150375939848,0.24060150375939848,0.020781920134938278
parent_heldout_test,PCA-SVM,0.1,133,133,0,1.0,0.0,0.7593984962406015,0.6509191113201143,0.7551024749615608,0.7593984962406015,0.7593984962406015,0.24060150375939848,0.24060150375939848,0.020781920134938278
parent_heldout_test,PCA-SVM,0.15,133,133,0,1.0,0.0,0.7593984962406015,0.6509191113201143,0.7551024749615608,0.7593984962406015,0.7593984962406015,0.24060150375939848,0.24060150375939848,0.020781920134938278
parent_heldout_test,PCA-SVM,0.2,133,131,2,0.9849624060150376,0.015037593984962405,0.7633587786259542,0.6593776346284709,0.7580448610651066,0.7633587786259542,0.7518796992481203,0.2366412213740458,0.23308270676691728,0.020135507723819984
parent_heldout_test,PCA-SVM,0.25,133,129,4,0.9699248120300752,0.03007518796992481,0.7751937984496124,0.6738560783283503,0.7727246393011672,0.7751937984496124,0.7518796992481203,0.2248062015503876,0.21804511278195488,0.018876074828460862
parent_heldout_test,PCA-SVM,0.3,133,122,11,0.9172932330827067,0.08270676691729323,0.7868852459016393,0.684544253775023,0.7851218064332818,0.7868852459016393,0.7218045112781954,0.21311475409836064,0.19548872180451127,0.016903402470392966
parent_heldout_test,PCA-SVM,0.35,133,120,13,0.9022556390977443,0.09774436090225563,0.7916666666666666,0.6875744332757907,0.7902771810614948,0.7916666666666666,0.7142857142857143,0.20833333333333334,0.18796992481203006,0.016292901859892357
parent_heldout_test,PCA-SVM,0.4,133,119,14,0.8947368421052632,0.10526315789473684,0.7983193277310925,0.6922108225275646,0.797746469125609,0.7983193277310925,0.7142857142857143,0.20168067226890757,0.18045112781954886,0.015629771886417558
parent_heldout_test,PCA-SVM,0.45,133,114,19,0.8571428571428571,0.14285714285714285,0.8157894736842105,0.7042719426322666,0.8140833658492936,0.8157894736842105,0.6992481203007519,0.18421052631578946,0.15789473684210525,0.013681377469783576
parent_heldout_test,PCA-SVM,0.5,133,109,24,0.8195488721804511,0.18045112781954886,0.8165137614678899,0.7076919711359071,0.8160373290928787,0.8165137614678899,0.6691729323308271,0.1834862385321101,0.15037593984962405,0.013034965058665283
parent_heldout_test,PCA-SVM,0.55,133,103,30,0.7744360902255639,0.22556390977443608,0.8349514563106796,0.7098840348840347,0.834215803875998,0.8349514563106796,0.6466165413533834,0.1650485436893204,0.12781954887218044,0.01105065884141362
parent_heldout_test,PCA-SVM,0.6,133,98,35,0.7368421052631579,0.2631578947368421,0.8469387755102041,0.7109148416840724,0.841928840143126,0.8469387755102041,0.6240601503759399,0.15306122448979592,0.11278195488721804,0.009772144252554201
parent_heldout_test,PCA-SVM,0.65,133,96,37,0.7218045112781954,0.2781954887218045,0.8541666666666666,0.7170981320778892,0.8500391997513709,0.8541666666666666,0.6165413533834586,0.14583333333333334,0.10526315789473684,0.009125731841435909
parent_heldout_test,PCA-SVM,0.7,133,91,42,0.6842105263157895,0.3157894736842105,0.8681318681318682,0.7213240568503726,0.8701681004312583,0.8681318681318682,0.5939849624060151,0.13186813186813187,0.09022556390977443,0.007816189456842815
parent_heldout_test,PCA-SVM,0.75,133,83,50,0.6240601503759399,0.37593984962406013,0.9156626506024096,0.757457361642882,0.9133852150684185,0.9156626506024096,0.5714285714285714,0.08433734939759036,0.05263157894736842,0.00448890573028504
parent_heldout_test,PCA-SVM,0.8,133,69,64,0.518796992481203,0.48120300751879697,0.9420289855072463,0.7670329670329671,0.9370600414078674,0.9420289855072463,0.48872180451127817,0.057971014492753624,0.03007518796992481,0.002552145172834828
parent_heldout_test,PCA-SVM,0.85,133,63,70,0.47368421052631576,0.5263157894736842,0.9523809523809523,0.758974358974359,0.9534391534391534,0.9523809523809523,0.45112781954887216,0.047619047619047616,0.022556390977443608,0.0019416445623342176
parent_heldout_test,PCA-SVM,0.9,133,49,84,0.3684210526315789,0.631578947368421,0.9795918367346939,0.676923076923077,0.9714285714285714,0.9795918367346939,0.3609022556390977,0.02040816326530612,0.007518796992481203,0.0006153846153846154
parent_heldout_test,PCA-SVM,0.95,133,41,92,0.3082706766917293,0.6917293233082706,0.975609756097561,0.676923076923077,0.9658536585365854,0.975609756097561,0.3007518796992481,0.024390243902439025,0.007518796992481203,0.0006153846153846154
parent_heldout_test,PLS-DA,0.0,133,133,0,1.0,0.0,0.5338345864661654,0.38553367299752495,0.5122715131364575,0.5338345864661654,0.5338345864661654,0.46616541353383456,0.46616541353383456,0.03904225898956089
parent_heldout_test,PLS-DA,0.05,133,133,0,1.0,0.0,0.5338345864661654,0.38553367299752495,0.5122715131364575,0.5338345864661654,0.5338345864661654,0.46616541353383456,0.46616541353383456,0.03904225898956089
parent_heldout_test,PLS-DA,0.1,133,133,0,1.0,0.0,0.5338345864661654,0.38553367299752495,0.5122715131364575,0.5338345864661654,0.5338345864661654,0.46616541353383456,0.46616541353383456,0.03904225898956089
parent_heldout_test,PLS-DA,0.15,133,131,2,0.9849624060150376,0.015037593984962405,0.5419847328244275,0.3913803903827039,0.5195681673928818,0.5419847328244275,0.5338345864661654,0.4580152671755725,0.45112781954887216,0.03784499452921504
parent_heldout_test,PLS-DA,0.2,133,111,22,0.8345864661654135,0.16541353383458646,0.5945945945945946,0.43666440196898715,0.5846110538073002,0.5945945945945946,0.49624060150375937,0.40540540540540543,0.3383458646616541,0.027925130579417465
parent_heldout_test,PLS-DA,0.25,133,73,60,0.5488721804511278,0.45112781954887216,0.5753424657534246,0.38392739011934063,0.5355646031544076,0.5753424657534246,0.3157894736842105,0.4246575342465753,0.23308270676691728,0.01944977643769897
