dataset,model,threshold,n_total,accepted_n,rejected_n,coverage,rejection_rate,accuracy_on_accepted,macro_f1_on_accepted,weighted_f1_on_accepted,precision_micro_on_accepted,operational_recall_correct_accepted_over_all,false_discovery_rate_wrong_among_accepted,false_positive_rate_wrong_accepted_over_all,macro_one_vs_rest_fpr
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.0,696,696,0,1.0,0.0,0.5531609195402298,0.17260022944106207,0.5253641521078029,0.5531609195402298,0.5531609195402298,0.4468390804597701,0.4468390804597701,0.08885698787248053
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.05,696,696,0,1.0,0.0,0.5531609195402298,0.17260022944106207,0.5253641521078029,0.5531609195402298,0.5531609195402298,0.4468390804597701,0.4468390804597701,0.08885698787248053
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.1,696,696,0,1.0,0.0,0.5531609195402298,0.17260022944106207,0.5253641521078029,0.5531609195402298,0.5531609195402298,0.4468390804597701,0.4468390804597701,0.08885698787248053
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.15,696,696,0,1.0,0.0,0.5531609195402298,0.17260022944106207,0.5253641521078029,0.5531609195402298,0.5531609195402298,0.4468390804597701,0.4468390804597701,0.08885698787248053
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.2,696,696,0,1.0,0.0,0.5531609195402298,0.17260022944106207,0.5253641521078029,0.5531609195402298,0.5531609195402298,0.4468390804597701,0.4468390804597701,0.08885698787248053
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.25,696,696,0,1.0,0.0,0.5531609195402298,0.17260022944106207,0.5253641521078029,0.5531609195402298,0.5531609195402298,0.4468390804597701,0.4468390804597701,0.08885698787248053
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.3,696,690,6,0.9913793103448276,0.008620689655172414,0.5565217391304348,0.17405190095320272,0.5299593607637435,0.5565217391304348,0.5517241379310345,0.4434782608695652,0.4396551724137931,0.08721156341539077
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.35,696,679,17,0.9755747126436781,0.02442528735632184,0.5640648011782032,0.17592192855350752,0.5370621628896182,0.5640648011782032,0.5502873563218391,0.43593519882179677,0.42528735632183906,0.08446978777407287
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.4,696,662,34,0.9511494252873564,0.04885057471264368,0.5740181268882175,0.17674739549912613,0.5448137897785312,0.5740181268882175,0.5459770114942529,0.4259818731117825,0.4051724137931034,0.0810294016991454
sherloc_leave_one_target_out,SHERLOC MST zero-shot,0.45,696,629,67,0.9037356321839081,0.09626436781609195,0.5914149443561209,0.17793300360310052,0.5583311870327335,0.5914149443561209,0.5344827586206896,0.40858505564387915,0.3692528735632184,0.07483333653121285
