,accuracy,macro_f1,weighted_f1,train_seconds,best_val_macro_f1
mst,0.7293233082706767,0.6622102121143042,0.7188019628648054,141.2064344882965,0.78247067854626
standard_transformer,0.706766917293233,0.6472834917204112,0.7103803016728714,140.71908807754517,0.7514090076590075
random_forest,0.7518796992481203,0.641973766973767,0.7436009757438328,16.58701777458191,
pca_svm,0.7443609022556391,0.6356896958419009,0.7352956161297893,0.7096779346466064,
cnn,0.48120300751879697,0.38916384690578243,0.47168723372458515,50.81308364868164,0.442866309471331
pls_da,0.5413533834586466,0.38900543900543905,0.5314878104351789,0.8751547336578369,
