raman_shift_cm-1,intensity
591.517578,358.965027
593.355469,372.65036
595.193359,389.062836
597.03125,387.794189
598.869141,378.358856
600.707031,394.78421
602.542969,378.53775
604.378906,356.835693
606.214844,390.977264
608.048828,380.168701
609.884766,370.717926
611.71875,408.976593
613.552734,395.437347
615.384766,384.619476
617.21875,416.08728
619.050781,395.717255
620.882813,439.486206
622.714844,443.685364
624.546875,442.424438
626.376953,458.91864
628.207031,463.125183
630.037109,431.805389
631.867188,467.443695
633.695313,486.693359
635.525391,496.379974
637.353516,499.232269
639.181641,543.128296
641.007813,559.67688
642.835938,554.333557
644.662109,616.070984
646.488281,654.558105
648.3125,677.996582
650.138672,686.375916
651.962891,737.239441
653.787109,745.636475
655.611328,759.521301
657.435547,811.808899
659.257813,805.141235
661.080078,857.463928
662.902344,819.241638
664.724609,886.69043
666.546875,889.644104
668.367188,891.22583
670.1875,907.917236
672.007813,888.895691
673.828125,850.626404
675.646484,828.833313
677.464844,826.27771
679.283203,756.337891
681.101563,751.012939
682.919922,744.309631
684.736328,705.952209
686.552734,697.858582
688.369141,648.458069
690.185547,637.592896
692.0,618.458069
693.816406,577.270569
695.630859,559.490662
697.445313,567.891541
699.257813,523.905762
701.072266,501.963715
702.884766,504.839539
704.697266,485.641998
706.509766,444.355682
708.320313,459.6427
710.132813,439.040405
711.943359,412.904663
713.753906,417.144684
715.5625,396.517944
717.373047,406.283722
719.181641,416.054016
720.990234,385.734558
722.798828,391.355865
724.605469,355.483643
726.414063,352.799286
728.220703,352.881378
730.027344,348.810944
731.833984,314.279724
733.638672,337.894623
735.443359,357.365082
737.25,347.749908
739.052734,307.643097
740.857422,293.853546
742.662109,321.650238
744.464844,324.498413
746.267578,316.251343
748.070313,287.189545
749.871094,284.480774
751.673828,319.247589
753.474609,292.942871
755.275391,291.622131
757.074219,284.744751
758.875,279.253448
760.673828,279.318176
762.472656,268.263153
764.271484,286.399017
766.070313,266.996826
767.867188,255.931198
769.666016,269.902954
771.462891,268.573853
773.259766,270.027893
775.054688,260.344818
776.851563,246.47963
778.646484,270.215302
780.441406,285.602783
782.234375,287.062317
784.029297,246.707626
785.822266,262.100281
787.615234,267.738708
789.408203,266.405731
791.201172,253.911209
792.994141,260.947021
794.785156,262.402985
796.576172,258.275299
798.367188,249.956451
800.15625,244.4272
801.947266,248.674713
803.736328,247.334671
805.525391,278.14093
807.314453,240.458618
809.101563,236.319016
810.890625,244.765411
812.677734,235.028915
814.464844,235.083038
816.251953,260.330414
818.037109,251.990646
819.824219,266.051331
821.609375,224.094788
823.394531,243.75914
825.177734,264.83374
826.962891,231.257233
828.746094,224.300995
830.529297,235.570175
832.3125,225.806625
834.095703,242.692673
835.876953,232.926239
837.658203,238.593704
839.439453,231.62941
841.220703,231.682587
843.001953,240.162521
844.78125,228.97937
846.560547,244.488052
848.339844,238.922424
850.119141,248.817459
851.896484,250.280579
853.675781,251.744339
855.453125,239.141602
857.230469,219.497879
859.005859,243.473282
860.783203,259.01355
862.558594,250.624847
864.333984,253.498886
866.109375,252.14827
867.884766,229.66243
869.658203,232.533569
871.433594,241.044479
873.207031,250.969177
874.980469,241.154739
876.751953,236.978134
878.525391,225.745056
880.296875,228.61911
882.068359,234.317551
883.839844,232.959213
885.609375,233.012436
887.380859,241.540756
889.150391,252.898651
890.919922,238.824738
892.689453,230.398331
894.457031,243.175186
896.224609,247.473068
897.994141,222.069336
899.761719,237.682526
901.527344,251.887726
903.294922,227.882965
905.060547,270.407257
906.826172,242.147522
908.591797,236.53714
910.357422,239.424454
912.121094,250.815262
913.886719,250.872375
915.650391,233.917328
917.414063,245.31459
919.175781,251.043732
920.939453,236.914368
922.701172,251.157974
924.462891,229.92569
926.224609,249.852615
927.986328,239.969833
929.746094,228.662292
931.505859,251.443619
933.265625,262.868011
935.025391,227.396973
936.785156,233.134842
938.542969,244.56279
940.300781,247.462723
942.058594,256.054047
943.816406,246.152237
945.574219,239.092255
947.330078,266.192841
949.085938,250.591263
950.841797,256.344635
952.597656,262.100616
954.353516,262.160034
956.107422,272.19519
957.861328,258.002594
959.615234,276.595825
961.369141,262.397736
963.123047,293.837921
964.875,269.650208
966.626953,261.148987
968.378906,301.174377
970.130859,249.845718
971.882813,279.890533
973.632813,245.673782
975.382813,277.159851
977.132813,267.219666
978.882813,281.573151
980.630859,248.755341
982.380859,264.541046
984.128906,260.309998
985.876953,271.813599
987.623047,260.427643
989.371094,260.48645
991.117188,247.661179
992.863281,270.62735
994.609375,257.798523
996.355469,252.126541
998.101563,249.317719
999.845703,278.037659
1001.589844,293.868927
1003.333984,272.427765
1005.078125,278.2258
1006.820313,286.895386
1008.5625,278.351257
1010.306641,258.322266
1012.046875,272.734924
1013.789063,269.924835
1015.53125,269.985626
1017.271484,270.046448
1019.011719,268.670502
1020.751953,275.91629
1022.492188,270.228851
1024.230469,284.666779
1025.96875,267.474426
1027.708984,261.781158
1029.445313,279.104218
1031.183594,274.849945
1032.921875,253.321823
1034.658203,272.094238
1036.394531,269.275452
1038.130859,279.41806
1039.867188,275.158966
1041.601563,266.575073
1043.337891,275.282593
1045.072266,269.578003
1046.806641,269.63855
1048.539063,272.583557
1050.273438,266.874451
1052.005859,288.577667
1053.738281,266.994232
1055.470703,264.167053
1057.203125,270.00174
1058.933594,303.278473
1060.666016,260.011261
1062.396484,280.29718
1064.126953,290.476074
1065.855469,286.204712
1067.585938,294.943634
1069.314453,290.671326
1071.042969,266.14679
1072.771484,280.674103
1074.5,259.030487
1076.228516,275.010101
1077.955078,279.414856
1079.681641,278.029327
1081.408203,263.607574
1083.134766,281.051147
1084.859375,275.317841
1086.585938,281.176849
1088.310547,271.091888
1090.035156,294.352661
1091.757813,290.067444
1093.482422,294.484222
1095.205078,291.648041
1096.927734,281.554016
1098.650391,270.003815
1100.373047,268.612152
1102.095703,293.360901
1103.816406,289.068542
1105.537109,277.509613
1107.257813,292.104065
1108.978516,281.994171
1110.699219,290.780487
1112.417969,282.119965
1114.136719,298.182922
1115.855469,276.42627
1117.574219,302.681458
1119.292969,295.471283
1121.009766,262.052612
1122.726563,292.690613
1124.443359,272.364838
1126.160156,304.475555
1127.876953,300.171906
1129.591797,298.78125
1131.306641,279.896423
1133.021484,288.707428
1134.736328,269.81189
1136.451172,275.70697
1138.164063,304.950134
1139.878906,300.639679
1141.591797,308.005219
1143.304688,275.952271
1145.015625,277.473969
1146.728516,283.37851
1148.439453,289.285614
1150.150391,282.04306
1151.861328,255.795319
1153.572266,283.630341
1155.28125,277.843964
1156.990234,283.756287
1158.701172,275.041351
1160.410156,288.272156
1162.117188,291.263397
1163.826172,284.008209
1165.533203,300.178314
1167.240234,278.275757
1168.947266,301.776367
1170.654297,269.607574
1172.361328,298.979004
1174.066406,299.045258
1175.771484,297.645264
1177.476563,263.980377
1179.181641,303.644653
1180.884766,281.703796
1182.589844,284.701233
1184.292969,284.764252
1185.996094,258.399994
1187.699219,268.736725
1189.402344,283.484497
1191.103516,292.362152
1192.804688,285.079407
1194.505859,293.961273
1196.207031,280.795074
1197.908203,294.091248
1199.607422,269.152954
1201.308594,279.510193
1203.007813,278.100525
1204.707031,284.048981
1206.404297,290.000031
1208.103516,281.229614
1209.800781,293.073578
1211.498047,271.042419
1213.195313,312.356934
1214.892578,324.215515
1216.589844,294.806396
1218.285156,303.71756
1219.980469,294.936462
1221.675781,296.476501
1223.371094,303.918518
1225.064453,289.228943
1226.759766,307.004486
1228.453125,311.501068
1230.146484,283.513672
1231.839844,293.914825
1233.533203,314.66153
1235.224609,285.17865
1236.916016,291.153168
1238.607422,282.347687
1240.298828,303.110046
1241.990234,294.303284
1243.679688,294.368011
1245.371094,306.269287
1247.060547,297.457306
1248.75,287.161224
1250.439453,307.951904
1252.126953,300.615295
1253.814453,316.974426
1255.503906,281.487732
1257.191406,293.404297
1258.876953,283.093597
1260.564453,295.015717
1262.25,311.391479
1263.9375,312.942993
1265.623047,295.210083
1267.308594,298.242462
1268.992188,317.601471
1270.677734,287.982239
1272.361328,310.316986
1274.044922,294.048981
1275.728516,311.938538
1277.412109,319.435669
1279.09375,292.756378
1280.775391,294.306946
1282.458984,321.132477
1284.140625,309.306427
1285.820313,307.88681
1287.501953,331.757477
1289.181641,303.557617
1290.863281,308.089142
1292.542969,324.532074
1294.220703,302.268005
1295.900391,306.802155
1297.578125,320.276215
1299.257813,302.466461
1300.935547,323.396942
1302.613281,307.070709
1304.289063,332.484161
1305.966797,313.170135
1307.642578,319.205048
1309.318359,334.194183
1310.994141,326.805878
1312.669922,347.773529
1314.345703,306.047852
1316.019531,306.114685
1317.693359,334.559326
1319.367188,316.705627
1321.041016,331.716949
1322.714844,319.832977
1324.386719,324.38739
1326.058594,342.400543
1327.730469,311.069214
1329.402344,321.608002
1331.074219,300.731628
1332.744141,345.692322
1334.416016,314.334229
1336.085938,330.87146
1337.755859,321.958649
1339.425781,322.028809
1341.09375,310.113861
1342.763672,323.667542
1344.431641,337.227112
1346.099609,334.302307
1347.767578,332.875641
1349.433594,328.448792
1351.101563,322.519867
1352.767578,337.594238
1354.433594,316.657227
