Wave,Anorthite
231.929,1955.31
232.442,1961.36
232.955,1981.97
233.47,1993.82
233.983,1999.2
234.496,1993.04
235.009,1989.48
235.522,1991.55
236.035,2002.99
236.55,2018.07
237.063,2027.47
237.575,2036.86
238.088,2042.49
238.601,2043.32
239.114,2041.59
239.628,2038.44
240.141,2035.46
240.654,2038.37
241.166,2052.6
241.679,2063.98
242.192,2076.8
242.704,2092.82
243.217,2093.06
243.729,2083.43
244.244,2072.62
244.756,2060.24
245.268,2058.25
245.781,2060.18
246.293,2064.63
246.805,2065.28
247.318,2065.41
247.83,2063.07
248.342,2061.1
248.854,2057.96
249.367,2052.71
249.879,2049.98
250.391,2049.93
250.903,2056.33
251.415,2060.99
251.927,2062.02
252.439,2060.57
252.951,2056.72
253.463,2053.13
253.975,2048.52
254.487,2043.21
254.998,2037.87
255.51,2032.11
256.022,2025.77
256.534,2018.53
257.046,2010.47
257.557,2032.62
258.069,2032.24
258.581,2030.1
259.092,2028.99
259.604,2029.05
260.115,2030.52
260.627,2033.29
261.136,2041.04
261.648,2038.98
262.159,2034.77
262.671,2033.12
263.182,2031.49
263.694,2030.2
264.205,2029.16
264.716,2028.81
265.228,2028.74
265.737,2028.88
266.248,2029.29
266.759,2019.22
267.27,2014.53
267.781,2019.74
268.293,2026.62
268.802,2041.71
269.313,2054.65
269.824,2065.13
270.335,2069.29
270.846,2070.21
271.357,2069.12
271.865,2066.12
272.376,2060.62
272.887,2054.2
273.398,2049.08
273.907,2046.32
274.418,2056.76
274.928,2070.3
275.439,2099.77
275.95,2113.52
276.458,2131.15
276.969,2121.74
277.48,2113.45
277.988,2129.47
278.499,2159.21
279.009,2202.87
279.52,2189.2
280.028,2193.03
280.538,2197.78
281.049,2205
281.557,2210.5
282.067,2212.54
282.578,2212.11
283.086,2211.08
283.596,2204.74
284.107,2196.12
284.615,2184.16
285.125,2170.02
285.635,2153.56
286.143,2137.28
286.653,2135.55
287.163,2132.48
287.671,2132.28
288.181,2133.36
288.691,2134.39
289.199,2134.02
289.709,2129.4
290.217,2119.1
290.727,2104.76
291.237,2089.6
291.744,2078.61
292.254,2069.08
292.762,2061.59
293.272,2055.2
293.779,2052.2
294.289,2050.38
294.799,2047
295.306,2041.37
295.816,2029.78
296.323,2024.11
296.833,2019.57
297.34,2015.85
297.85,2013.02
298.357,2010.55
298.866,2008
299.374,2004.71
299.883,1999.68
300.39,1995.31
300.9,1991.72
301.407,1988.25
301.916,1989.04
302.423,1989.44
302.933,1991.53
303.44,1994.69
303.947,1996.98
304.456,1996
304.963,1987.61
305.472,1976.64
305.979,1964.05
306.488,1956.73
306.995,1956.81
307.502,1958.2
308.011,1959.11
308.517,1960.01
309.026,1960.32
309.533,1961.27
310.04,1962.55
310.549,1963.93
311.055,1965.38
311.564,1966.51
312.071,1967.42
312.577,1968.85
313.086,1971.54
313.592,1975.18
314.099,1978
314.607,1979.84
315.114,1980.99
315.62,1981.8
316.129,1981.63
316.635,1980.8
317.142,1979.43
317.65,1977.6
318.156,1980.46
318.663,1983.82
319.169,1990.51
319.677,1996.55
320.183,2000.49
320.689,2000.19
321.198,1996.56
321.704,1990.56
322.21,1984.51
322.716,1975.71
323.224,1972.3
323.73,1973.84
324.236,1979.49
324.742,1988.74
325.248,1998.71
325.756,2003.39
326.261,2009.27
326.767,2004.53
327.273,1995.44
327.779,1987.41
328.287,1980.76
328.792,1975.22
329.298,1970.24
329.804,1966.18
330.309,1963.17
330.817,1961.02
331.323,1959.71
331.828,1959.24
332.334,1959.35
332.839,1960.2
333.344,1960.59
333.85,1958.92
334.355,1950.71
334.863,1944.85
335.368,1942.52
335.873,1945.27
336.379,1948.05
336.884,1955
337.389,1965.99
337.894,1975.71
338.4,1980.9
338.905,1985.37
339.41,1988.88
339.915,1991.4
340.42,1992.85
340.927,1993.35
341.432,1992.76
341.937,1991.1
342.442,1988.5
342.947,1985.77
343.452,1983.48
343.957,1982.14
344.462,1981.69
344.967,1982.37
345.471,1983.37
345.976,1987.85
346.481,1991.2
346.986,1990.07
347.49,1986.7
347.995,1982.76
348.499,1978.94
349.004,1974.92
349.507,1970.67
350.011,1966.12
350.516,1960.99
351.02,1959.41
351.525,1965.28
352.029,1967.31
352.533,1970.07
353.038,1973.9
353.542,1976.79
354.046,1978.86
354.551,1980.06
355.055,1980.09
355.557,1977.82
356.061,1973.97
356.566,1968.42
357.07,1961.21
357.574,1955.68
358.078,1950.51
358.582,1948.94
359.086,1946.36
359.588,1951.24
360.092,1960.51
360.596,1970.66
361.1,1982.84
361.604,1987.99
362.106,1987.73
362.61,1988.6
363.113,1988.84
