epoch,train_loss,val_macro_f1
1,1.9131311734517416,0.14426229508196722
2,1.8337901512781778,0.06808510638297872
3,1.8424678961435954,0.17219792865362488
4,1.8548856735229493,0.1641025641025641
5,1.9379716396331788,0.17936137071651087
6,1.9190317869186402,0.1471264367816092
7,1.8627136548360188,0.08952380952380952
8,1.8055346647898356,0.2415856976292266
9,1.9461243629455567,0.24432234432234434
10,1.7568148771921794,0.3162164242284307
11,1.8788451592127482,0.2534671389216844
12,1.7739119211832681,0.185475910693302
13,1.8254555622736612,0.21374610591900312
14,1.8374353329340616,0.2612603475277798
15,1.6781002759933472,0.28867132867132866
16,1.799888261159261,0.24151738672286616
17,1.7866732199986777,0.24745687748783723
18,1.7275092601776123,0.2689848353134357
19,1.7576329946517943,0.23940711462450595
20,1.5697258551915487,0.32869458128078816
21,1.6684605518976847,0.2895453593128012
22,1.7952137311299643,0.2965128205128205
23,1.725884493192037,0.20101626016260163
24,1.6839839458465575,0.2993167701863354
25,1.6810327609380087,0.2896767001114827
26,1.6741588989893594,0.24666666666666667
27,1.6026762088139852,0.3197414350355527
28,1.62590758005778,0.33645484949832777
29,1.5392916599909465,0.37726495726495723
30,1.6505544900894165,0.39605111824984973
31,1.5356246908505757,0.3605742296918767
32,1.463904360930125,0.36558626919602527
33,1.489404833316803,0.4077923616807949
34,1.395271074771881,0.4290573523839244
35,1.4812212904294333,0.43392914653784215
36,1.3281641085942586,0.4759878419452887
37,1.3621708075205485,0.4558730158730159
38,1.3776137590408326,0.45330716902145474
39,1.2797842741012573,0.43725308126523926
40,1.4552302797635397,0.4642222222222222
41,1.352142079671224,0.4317101449275363
42,1.3200029373168944,0.44108631958530536
43,1.3395373622576396,0.45694112127609665
44,1.387240958213806,0.45374277896017023
45,1.1749315897623698,0.4942883907661425
46,1.4072102864583333,0.45020787478601126
47,1.321177101135254,0.45968516061395315
48,1.2524737993876138,0.45625919647973234
49,1.2419950286547343,0.4781980067480175
50,1.2153952280680338,0.528135017437343
51,1.126881492137909,0.48087041658181784
52,1.3117420236269632,0.5111685957747645
53,1.167523487408956,0.49973000499634884
54,1.0316222925980887,0.541265659957365
55,0.9890154461065929,0.5439970017524004
56,0.8923802475134531,0.49980030721966207
57,0.9657658358414968,0.5376065222837102
58,0.7351155797640483,0.5551219141085625
59,0.8480404893557231,0.5348706753006475
60,0.8110847453276316,0.5439978203614567
